property_id,transaction_id,address,zipcode,ypred,list,url,lat,long
1053792,22133219,"979 E Indian Wells Pl, Chandler, AZ 85249 ",85249,0.5201544165611267,319000,https://www.zillow.com/homedetails/979-E-Indian-Wells-Pl-Chandler-AZ-85249/60986632_zpid/,33.218,-111.82799999999999
1272234,21981977,"4228 E Del Rio St, Gilbert, AZ 85295 ",85295,0.5201544165611267,289000,https://www.zillow.com/homedetails/4228-E-Del-Rio-St-Gilbert-AZ-85295/55275919_zpid/,33.3159,-111.698
1310725,21977337,"3091 E Lynx Way, Gilbert, AZ 85298 ",85298,0.5201544165611267,355000,https://www.zillow.com/homedetails/3091-E-Lynx-Way-Gilbert-AZ-85298/71614489_zpid/,33.2378,-111.723
1923956,22402285,"18429 W Eva St, Waddell, AZ 85355 ",85355,0.520142138004303,245000,https://www.zillow.com/homedetails/18429-W-Eva-St-Waddell-AZ-85355/2097455238_zpid/,33.5666,-112.456
7397708,22563199,"625 N Sunland Dr, Chandler, AZ 85225 ",85225,0.5201413631439209,179000,https://www.zillow.com/homedetails/625-N-Sunland-Dr-Chandler-AZ-85225/8187196_zpid/,33.3149,-111.844
1080864,22489707,"2490 E Whitten St, Chandler, AZ 85225 ",85225,0.5201359391212463,299900,https://www.zillow.com/homedetails/2490-E-Whitten-St-Chandler-AZ-85225/8224204_zpid/,,
1087344,22449332,"422 S Marie Dr, Chandler, AZ 85225 ",85225,0.5201359391212463,350000,https://www.zillow.com/homedetails/422-S-Marie-Dr-Chandler-AZ-85225/10987593_zpid/,,
8996461,22564439,"9937 E Lompoc Ave, Mesa, AZ 85209 ",85209,0.5201359391212463,299995,https://www.zillow.com/homedetails/9937-E-Lompoc-Ave-Mesa-AZ-85209/50882237_zpid/,,
1070096,22566564,"1341 E Folley Pl, Chandler, AZ 85225 ",85225,0.5201359391212463,345000,https://www.zillow.com/homedetails/1341-E-Folley-Pl-Chandler-AZ-85225/50196324_zpid/,,
1126477,22489731,"280 N Bullmoose Dr, Chandler, AZ 85224 ",85224,0.5201359391212463,360000,https://www.zillow.com/homedetails/280-N-Bullmoose-Dr-Chandler-AZ-85224/8185225_zpid/,,
8967087,22458479,"2361 E Geronimo St, Chandler, AZ 85225 ",85225,0.5201359391212463,284900,https://www.zillow.com/homedetails/2361-E-Geronimo-St-Chandler-AZ-85225/50195668_zpid/,,
305465,22357078,"3680 W Muirfield Ct, Anthem, AZ 85086 ",85086,0.5201217532157898,186000,https://www.zillow.com/homedetails/3680-W-Muirfield-Ct-Anthem-AZ-85086/71618239_zpid/,33.8618,-112.14
1425630,21978774,"3528 W Mariposa Grande, Glendale, AZ 85310 ",85310,0.520115852355957,271900,https://www.zillow.com/homedetails/3528-W-Mariposa-Grande-Glendale-AZ-85310/7932313_zpid/,33.7028,-112.13600000000001
909321,22549704,"1173 S 231st Ct, Buckeye, AZ 85326 ",85326,0.5201100707054138,155000,https://www.zillow.com/homedetails/1173-S-231st-Ct-Buckeye-AZ-85326/60996951_zpid/,33.4361,-112.54899999999999
8981420,22490874,"9742 W Mountain View Rd, Peoria, AZ 85345 ",85345,0.5201100707054138,172000,https://www.zillow.com/homedetails/9742-W-Mountain-View-Rd-Peoria-AZ-85345/52425238_zpid/,33.5729,-112.27
1493010,22583272,"17526 W Watson Ln, Surprise, AZ 85388 ",85388,0.520108163356781,180000,https://www.zillow.com/homedetails/17526-W-Watson-Ln-Surprise-AZ-85388/60995880_zpid/,33.6131,-112.436
1476558,22580084,"14835 N 177th Ave, Surprise, AZ 85388 ",85388,0.520108163356781,180000,https://www.zillow.com/homedetails/14835-N-177th-Ave-Surprise-AZ-85388/95071640_zpid/,33.6192,-112.44
7887177,22487811,"10959 Clear Water, Goodyear, AZ 85338 ",85338,0.5200956463813782,269000,https://www.zillow.com/homedetails/10959-Clear-Water-Goodyear-AZ-85338/88889577_zpid/,33.3469,-112.441
448283,22429925,"4434 N 124th Ave, Avondale, AZ 85392 ",85392,0.5200899839401245,227000,https://www.zillow.com/homedetails/4434-N-124th-Ave-Avondale-AZ-85392/67795554_zpid/,33.4989,-112.32799999999999
8977354,22375835,"14562 W Port Au Prince Ln, Surprise, AZ 85379 ",85379,0.5200899839401245,219900,https://www.zillow.com/homedetails/14562-W-Port-Au-Prince-Ln-Surprise-AZ-85379/81988807_zpid/,33.6222,-112.37299999999999
