property_id,transaction_id,address,zipcode,good_sell,list,url,lat,long,date_listed,transaction_date
417446,23882391,"4813 W Mountain View Rd, Glendale, AZ 85302 ",85302,0.7427230477333069,195000,https://www.zillow.com/homedetails/4813-W-Mountain-View-Rd-Glendale-AZ-85302/7730123_zpid/,33.5745,-112.162,6618,2018-02-13
41792,23874571,"6411 W Winslow Ave, Phoenix, AZ 85043 ",85043,0.742699533700943,210000,https://www.zillow.com/homedetails/6411-W-Winslow-Ave-Phoenix-AZ-85043/49641685_zpid/,33.4219,-112.198,6610,2018-02-05
9023068,23823620,"15224 N 30TH St, Phoenix, AZ 85032 ",85032,0.7424001395702362,229000,https://www.zillow.com/homedetails/15224-N-30th-St-Phoenix-AZ-85032/8011594_zpid/,33.6253,-112.01799999999999,6520,2017-11-07
836722,23830966,"5221 N 41ST Dr, Phoenix, AZ 85019 ",85019,0.7422398328781128,179000,https://www.zillow.com/homedetails/5221-N-41ST-Dr-Phoenix-AZ-85019/67083438_zpid/,33.5124,-112.148,6526,2017-11-13
17711,23887053,"5008 W Wikieup Ln, Glendale, AZ 85308 ",85308,0.7420247793197632,229000,https://www.zillow.com/homedetails/5008-W-Wikieup-Ln-Glendale-AZ-85308/7938109_zpid/,33.6638,-112.16799999999999,6585,2018-01-11
283679,23872189,"2237 E Paradise Dr, Phoenix, AZ 85028 ",85028,0.7415077388286591,247000,https://www.zillow.com/homedetails/2237-E-Paradise-Dr-Phoenix-AZ-85028/7816525_zpid/,33.5956,-112.03299999999999,6604,2018-01-30
384001,23887443,"3407 W Mountain View Rd, Phoenix, AZ 85051 ",85051,0.7414308488368988,249900,https://www.zillow.com/homedetails/3407-W-Mountain-View-Rd-Phoenix-AZ-85051/7739208_zpid/,33.5745,-112.132,6621,2018-02-16
423608,23883662,"8813 N 55th Dr, Glendale, AZ 85302 ",85302,0.7404517233371735,194900,https://www.zillow.com/homedetails/8813-N-55th-Dr-Glendale-AZ-85302/7733371_zpid/,33.5657,-112.178,6603,2018-01-29
392024,23860589,"4134 W Linger Ln, Phoenix, AZ 85051 ",85051,0.740342766046524,224900,https://www.zillow.com/homedetails/4134-W-Linger-Ln-Phoenix-AZ-85051/7755387_zpid/,33.5528,-112.148,6572,2017-12-29
476829,23864061,"1614 N 53rd Dr, Phoenix, AZ 85035 ",85035,0.7402664124965668,159000,https://www.zillow.com/homedetails/1614-N-53rd-Dr-Phoenix-AZ-85035/7493815_zpid/,33.4668,-112.175,6582,2018-01-08
