property_id,transaction_id,address,zipcode,ypred,list,url
1878159,21942449,"10428 W Atlantis Way, Tolleson, AZ 85353 ",85353,0.5969407558441162,249000,https://www.zillow.com/homedetails/10428-W-Atlantis-Way-Tolleson-AZ-85353/71612039_zpid/
1600991,21948980,"18135 W Sanna St, Waddell, AZ 85355 ",85355,0.5968945622444153,225000,https://www.zillow.com/homedetails/18135-W-Sanna-St-Waddell-AZ-85355/71625006_zpid/
7408336,22308099,"5633 W Carson Rd, Laveen, AZ 85339 ",85339,0.5965098142623901,268400,https://www.zillow.com/homedetails/5633-W-Carson-Rd-Laveen-AZ-85339/67764776_zpid/
524860,21644225,"9133 W Lewis Ave, Phoenix, AZ 85037 ",85037,0.5963016152381897,255000,https://www.zillow.com/homedetails/9133-W-Lewis-Ave-Phoenix-AZ-85037/67764412_zpid/
8966821,22239656,"16375 W Monroe St, Goodyear, AZ 85338 ",85338,0.595890998840332,270000,https://www.zillow.com/homedetails/16375-W-Monroe-St-Goodyear-AZ-85338/59256474_zpid/
199462,22232697,"6014 S 37th Ln, Phoenix, AZ 85041 ",85041,0.5957693457603455,219000,https://www.zillow.com/homedetails/6014-S-37th-Ln-Phoenix-AZ-85041/67774233_zpid/
202428,22105579,"806 W Allen St, Phoenix, AZ 85041 ",85041,0.5955791473388672,265000,https://www.zillow.com/homedetails/806-W-Allen-St-Phoenix-AZ-85041/67702990_zpid/
195273,22029639,"3130 W Apollo Rd, Phoenix, AZ 85041 ",85041,0.5955791473388672,249900,https://www.zillow.com/homedetails/3130-W-Apollo-Rd-Phoenix-AZ-85041/67764907_zpid/
195618,22239725,"3236 W Pleasant Ln, Phoenix, AZ 85041 ",85041,0.595335841178894,257000,https://www.zillow.com/homedetails/3236-W-Pleasant-Ln-Phoenix-AZ-85041/67789580_zpid/
1501081,22218045,"18137 W Saguaro Ln, Surprise, AZ 85388 ",85388,0.5949071645736694,295000,https://www.zillow.com/homedetails/18137-W-Saguaro-Ln-Surprise-AZ-85388/81996982_zpid/
16393,21955689,"2518 N 112th Ln, Avondale, AZ 85392 ",85392,0.5949071645736694,300000,https://www.zillow.com/homedetails/2518-N-112th-Ln-Avondale-AZ-85392/55191159_zpid/
2028220,21964731,"9598 W Alice Ave, Peoria, AZ 85345 ",85345,0.5949071645736694,299900,https://www.zillow.com/homedetails/9598-W-Alice-Ave-Peoria-AZ-85345/62728619_zpid/
8945117,21961788,"8370 N 98th Ln, Peoria, AZ 85345 ",85345,0.5949071645736694,310000,https://www.zillow.com/homedetails/8370-N-98th-Ln-Peoria-AZ-85345/60048096_zpid/
7512605,21817355,"17369 W Red Bird Rd, Surprise, AZ 85387 ",85387,0.5949071645736694,299995,https://www.zillow.com/homedetails/17369-W-Red-Bird-Rd-Surprise-AZ-85387/71631215_zpid/
8962351,21907051,"1876 S 156th Ln, Goodyear, AZ 85338 ",85338,0.594846785068512,239900,https://www.zillow.com/homedetails/1876-S-156th-Ln-Goodyear-AZ-85338/59255916_zpid/
589335,21819831,"11445 E Quade Ave, Mesa, AZ 85212 ",85212,0.5948101878166199,283000,https://www.zillow.com/homedetails/11445-E-Quade-Ave-Mesa-AZ-85212/55103220_zpid/
7385512,21896172,"12577 S 176th Ave, Goodyear, AZ 85338 ",85338,0.5945734977722168,302900,https://www.zillow.com/homedetails/12577-S-176th-Ave-Goodyear-AZ-85338/55281722_zpid/
7491251,21945113,"13437 W Marlette Ct, Litchfield Park, AZ 85340 ",85340,0.5943922400474548,270000,https://www.zillow.com/homedetails/13437-W-Marlette-Ct-Litchfield-Park-AZ-85340/59254354_zpid/
7459753,21929403,"15655 W Ventura St, Surprise, AZ 85379 ",85379,0.5942412614822388,238000,https://www.zillow.com/homedetails/15655-W-Ventura-St-Surprise-AZ-85379/67767995_zpid/
940479,21986526,"555 S 219th Dr, Buckeye, AZ 85326 ",85326,0.5934029817581177,299870,https://www.zillow.com/homedetails/555-S-219th-Dr-Buckeye-AZ-85326/71626302_zpid/
8938463,21959196,"6816 W Burgess Ln, Laveen, AZ 85339 ",85339,0.5934029817581177,275000,https://www.zillow.com/homedetails/6816-W-Burgess-Ln-Laveen-AZ-85339/71604730_zpid/
197599,20728836,"4123 W Saint Anne Ave, Phoenix, AZ 85041 ",85041,0.5934029817581177,299000,https://www.zillow.com/homedetails/4123-W-Saint-Anne-Ave-Phoenix-AZ-85041/67770696_zpid/
1489000,21585583,"16880 W Ironwood St, Surprise, AZ 85388 ",85388,0.5934029817581177,309000,https://www.zillow.com/homedetails/16880-W-Ironwood-St-Surprise-AZ-85388/55283924_zpid/
7447996,21897600,"16145 W Papago St, Goodyear, AZ 85338 ",85338,0.5933273434638977,299900,https://www.zillow.com/homedetails/16145-W-Papago-St-Goodyear-AZ-85338/95176224_zpid/
8967232,22245017,"15448 W Jackson St, Goodyear, AZ 85338 ",85338,0.5930836796760559,298900,https://www.zillow.com/homedetails/15448-W-Jackson-St-Goodyear-AZ-85338/67761862_zpid/
