,address,ypred,list,gain-loss,gain-loss%,url
1904421,"900 Ironwood Dr, Las Vegas, NV 89108 ",285422.96875,285000,422.96875,0.0014841008771930841,https://www.zillow.com/homedetails/900-Ironwood-Dr-Las-Vegas-NV-89108/7011727_zpid/
7454638,"845 S Field St, Lakewood, CO 80226 ",350406.96875,350000,406.96875,0.0011627678571428657,https://www.zillow.com/homedetails/845-S-Field-St-Lakewood-CO-80226/13773393_zpid/
7428903,"14306 Burgoyne Rd, Houston, TX 77077 ",255396.515625,255000,396.515625,0.0015549632352940268,https://www.zillow.com/homedetails/14306-Burgoyne-Rd-Houston-TX-77077/28159421_zpid/
7404172,"18030 N Alyssum Dr, Sun City West, AZ 85375 ",149388.296875,149000,388.296875,0.002606019295301909,https://www.zillow.com/homedetails/18030-N-Alyssum-Dr-Sun-City-West-AZ-85375/8111042_zpid/
7461321,"12411 Jasmine Brook Ln, Houston, TX 77089 ",164857.453125,164500,357.453125,0.0021729673252279813,https://www.zillow.com/homedetails/12411-Jasmine-Brook-Ln-Houston-TX-77089/80383196_zpid/
801010,"901 E Harmony Ave, Mesa, AZ 85204 ",265268.15625,265000,268.15625,0.0010119103773584825,https://www.zillow.com/homedetails/901-E-Harmony-Ave-Mesa-AZ-85204/7629354_zpid/
42972,"7211 W Illini St, Phoenix, AZ 85043 ",207601.96875,207400,201.96875,0.0009738126808100933,https://www.zillow.com/homedetails/7211-W-Illini-St-Phoenix-AZ-85043/95090436_zpid/
7451258,"5449 Geneive Ln, Las Vegas, NV 89108 ",130101.53125,129900,201.53125,0.0015514337952271529,https://www.zillow.com/homedetails/5449-Geneive-Ln-Las-Vegas-NV-89108/2094953352_zpid/
7417618,"506 W Latona Rd, Phoenix, AZ 85041 ",194984.96875,194800,184.96875,0.0009495315708418772,https://www.zillow.com/homedetails/506-W-Latona-Rd-Phoenix-AZ-85041/95124788_zpid/
2481892,"6131 Briar Glade Dr, Houston, TX 77072 ",168158.1875,168000,158.1875,0.0009415922619047112,https://www.zillow.com/homedetails/6131-Briar-Glade-Dr-Houston-TX-77072/28309136_zpid/
1409398,"6986 W Glenn Dr, Glendale, AZ 85303 ",232151.21875,232000,151.21875,0.0006518049568966511,https://www.zillow.com/homedetails/6986-W-Glenn-Dr-Glendale-AZ-85303/54904028_zpid/
3521867,"6504 Bannock Way, Las Vegas, NV 89107 ",160038.671875,159900,138.671875,0.000867241244527861,https://www.zillow.com/homedetails/6504-Bannock-Way-Las-Vegas-NV-89107/6977782_zpid/
917533,"22036 W Hadley St, Buckeye, AZ 85326 ",185117.328125,185000,117.328125,0.0006342060810811123,https://www.zillow.com/homedetails/22036-W-Hadley-St-Buckeye-AZ-85326/82385935_zpid/
389080,"2502 W Corrine Dr, Phoenix, AZ 85029 ",180003.265625,179900,103.265625,0.0005740168148971048,https://www.zillow.com/homedetails/2502-W-Corrine-Dr-Phoenix-AZ-85029/7748235_zpid/
7428452,"3800 S Cantabria Cir, Chandler, AZ 85248 ",225100.796875,225000,100.796875,0.0004479861111110761,https://www.zillow.com/homedetails/3800-S-Cantabria-Cir-Chandler-AZ-85248/2104266213_zpid/
137573,"19805 N Calypso Ln, Sun City, AZ 85373 ",180064.203125,180000,64.203125,0.0003566840277777761,https://www.zillow.com/homedetails/19805-N-Calypso-Ln-Sun-City-AZ-85373/7893952_zpid/
7445015,"1311 W Pollack St, Phoenix, AZ 85041 ",205602.40625,205601,1.40625,6.8397040871026604e-06,https://www.zillow.com/homedetails/1311-W-Pollack-St-Phoenix-AZ-85041/95146044_zpid/
7388595,"11607 S Half Moon Dr, Phoenix, AZ 85044 ",234963.46875,235000,-36.53125,-0.00015545212765954997,https://www.zillow.com/homedetails/11607-S-Half-Moon-Dr-Phoenix-AZ-85044/8149377_zpid/
1667645,"18614 N Palo Verde Dr, Sun City, AZ 85373 ",234932.6875,235000,-67.3125,-0.0002864361702127338,https://www.zillow.com/homedetails/18614-N-Palo-Verde-Dr-Sun-City-AZ-85373/7924548_zpid/
3492634,"6416 Melody Rose Ave, Las Vegas, NV 89108 ",129829.5234375,129900,-70.4765625,-0.0005425447459583843,https://www.zillow.com/homedetails/6416-Melody-Rose-Ave-Las-Vegas-NV-89108/6952682_zpid/
7486500,"13600 Breton Ridge St BLDG 33A, Houston, TX 77070 ",165909.15625,166000,-90.84375,-0.0005472515060240823,https://www.zillow.com/homedetails/13600-Breton-Ridge-St-BLDG-33A-Houston-TX-77070/80513321_zpid/
1681213,"12619 W Gable Hill Dr, Sun City West, AZ 85375 ",249794.625,249900,-105.375,-0.00042166866746695675,https://www.zillow.com/homedetails/12619-W-Gable-Hill-Dr-Sun-City-West-AZ-85375/8113671_zpid/
7458232,"13332 N Main St, El Mirage, AZ 85335 ",78893.7265625,79000,-106.2734375,-0.0013452333860759502,https://www.zillow.com/homedetails/13332-N-Main-St-El-Mirage-AZ-85335/59257001_zpid/
1698692,"15237 W Sky Hawk Dr, Sun City West, AZ 85375 ",189893.28125,190000,-106.71875,-0.000561677631578994,https://www.zillow.com/homedetails/15237-W-Sky-Hawk-Dr-Sun-City-West-AZ-85375/8118899_zpid/
7459463,"18027 N Desert Drive Gln, Sun City West, AZ 85375 ",156790.328125,156900,-109.671875,-0.0006989921924792641,https://www.zillow.com/homedetails/18027-N-Desert-Drive-Gln-Sun-City-West-AZ-85375/2094874442_zpid/
7419446,"472 W Myrtle Dr, Chandler, AZ 85248 ",369881.21875,369998,-116.78125,-0.0003156267060903106,https://www.zillow.com/homedetails/472-W-Myrtle-Dr-Chandler-AZ-85248/2095244792_zpid/
7445952,"5410 S Pinta Ave, Tucson, AZ 85706 ",148842.84375,149000,-157.15625,-0.0010547399328858509,https://www.zillow.com/homedetails/5410-S-Pinta-Ave-Tucson-AZ-85706/8565435_zpid/
7452917,"4821 W Berkeley Rd, Phoenix, AZ 85035 ",133306.84375,133500,-193.15625,-0.0014468632958801741,https://www.zillow.com/homedetails/4821-W-Berkeley-Rd-Phoenix-AZ-85035/7494886_zpid/
6765809,"7724 Galician Pony St, Las Vegas, NV 89131 ",356769.90625,357000,-230.09375,-0.0006445203081232309,https://www.zillow.com/homedetails/7724-Galician-Pony-St-Las-Vegas-NV-89131/59432033_zpid/
7487228,"3213 W Desert Cove Ave, Phoenix, AZ 85029 ",194262.90625,194500,-237.09375,-0.001218991002570724,https://www.zillow.com/homedetails/3213-W-Desert-Cove-Ave-Phoenix-AZ-85029/7740493_zpid/
7445942,"1554 Beaconshire Rd, Houston, TX 77077 ",264756.5,265000,-243.5,-0.0009188679245283327,https://www.zillow.com/homedetails/1554-Beaconshire-Rd-Houston-TX-77077/28321129_zpid/
2041425,"22424 W La Pasada Blvd, Buckeye, AZ 85326 ",180648.9375,180900,-251.0625,-0.0013878524046434526,https://www.zillow.com/homedetails/22424-W-La-Pasada-Blvd-Buckeye-AZ-85326/2096800151_zpid/
4209383,"2775 N Desert Ave, Tucson, AZ 85712 ",134738.671875,135000,-261.328125,-0.0019357638888889417,https://www.zillow.com/homedetails/2775-N-Desert-Ave-Tucson-AZ-85712/71675607_zpid/
