,address,ypred,list,url
416391,"4510 W Beryl Ave, Glendale, AZ 85302 ",0.5984534025192261,208800,https://www.zillow.com/homedetails/4510-W-Beryl-Ave-Glendale-AZ-85302/7729066_zpid/
229852,"1747 W Menadota Dr, Phoenix, AZ 85027 ",0.5984534025192261,214990,https://www.zillow.com/homedetails/1747-W-Menadota-Dr-Phoenix-AZ-85027/7969205_zpid/
286704,"3535 E Cortez St, Phoenix, AZ 85028 ",0.5984534025192261,279000,https://www.zillow.com/homedetails/3535-E-Cortez-St-Phoenix-AZ-85028/7817588_zpid/
289328,"9256 N 29th St, Phoenix, AZ 85028 ",0.5984534025192261,490000,https://www.zillow.com/homedetails/9256-N-29th-St-Phoenix-AZ-85028/7812207_zpid/
287674,"4068 E Shangri La Rd, Phoenix, AZ 85028 ",0.5984534025192261,390000,https://www.zillow.com/homedetails/4068-E-Shangri-La-Rd-Phoenix-AZ-85028/7827036_zpid/
684802,"9648 E Juanita Ave, Mesa, AZ 85209 ",0.5875892639160156,349000,https://www.zillow.com/homedetails/9648-E-Juanita-Ave-Mesa-AZ-85209/8090663_zpid/
23545,"7005 S 21st Ln, Phoenix, AZ 85041 ",0.5875892639160156,195000,https://www.zillow.com/homedetails/7005-S-21st-Ln-Phoenix-AZ-85041/60976657_zpid/
625476,"2329 S Orange, Mesa, AZ 85210 ",0.5875892639160156,283500,https://www.zillow.com/homedetails/2329-S-Orange-Mesa-AZ-85210/8170756_zpid/
191648,"2006 W Darrel Rd, Phoenix, AZ 85041 ",0.5875892639160156,249900,https://www.zillow.com/homedetails/2006-W-Darrel-Rd-Phoenix-AZ-85041/67781887_zpid/
195341,"3138 W Dunbar Dr, Phoenix, AZ 85041 ",0.5875892639160156,209900,https://www.zillow.com/homedetails/3138-W-Dunbar-Dr-Phoenix-AZ-85041/60977143_zpid/
196529,"3715 W Carter Rd, Phoenix, AZ 85041 ",0.5875892639160156,177500,https://www.zillow.com/homedetails/3715-W-Carter-Rd-Phoenix-AZ-85041/67774136_zpid/
200663,"6811 S 36th Dr, Phoenix, AZ 85041 ",0.5875892639160156,212899,https://www.zillow.com/homedetails/6811-S-36th-Dr-Phoenix-AZ-85041/62727887_zpid/
201547,"718 W Milada Dr, Phoenix, AZ 85041 ",0.5875892639160156,274900,https://www.zillow.com/homedetails/718-W-Milada-Dr-Phoenix-AZ-85041/59265964_zpid/
920808,"22602 W Ashleigh Marie Dr, Buckeye, AZ 85326 ",0.5875892639160156,284900,https://www.zillow.com/homedetails/22602-W-Ashleigh-Marie-Dr-Buckeye-AZ-85326/67796824_zpid/
671914,"7507 E Medina Ave, Mesa, AZ 85209 ",0.5875892639160156,249500,https://www.zillow.com/homedetails/7507-E-Medina-Ave-Mesa-AZ-85209/8273347_zpid/
635963,"8207 S 53rd Ave, Laveen, AZ 85339 ",0.5875892639160156,215000,https://www.zillow.com/homedetails/8207-S-53rd-Ave-Laveen-AZ-85339/55272681_zpid/
36809,"4421 S 8th St, Phoenix, AZ 85040 ",0.5875892639160156,99000,https://www.zillow.com/homedetails/4421-S-8th-St-Phoenix-AZ-85040/7524910_zpid/
659268,"2259 S Barrington, Mesa, AZ 85209 ",0.5875892639160156,224000,https://www.zillow.com/homedetails/2259-S-Barrington-Mesa-AZ-85209/54474224_zpid/
229594,"13633 S 47th St, Phoenix, AZ 85044 ",0.5875892639160156,374900,https://www.zillow.com/homedetails/13633-S-47th-St-Phoenix-AZ-85044/8256441_zpid/
