address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"1050 N Point St, San Francisco, CA 94109",0,1,648,zillow_sf,http://www.zillow.com/homedetails/1050-N-Point-St-San-Francisco-CA-94109/63196505_zpid/,-122.425,37.8054,19.9768,1961,0,1,,0.007,101160,rental,3500,closed,64,2015-08-07,2015-06-04,Russian Hill,70,SF
"1050 N Point St, San Francisco, CA 94109",0,1,648,zillow_sf,http://www.zillow.com/homedetails/1050-N-Point-St-San-Francisco-CA-94109/63196505_zpid/,-122.425,37.8054,19.9768,1961,0,1,,0.007,101161,rental,3000,closed,30,2016-03-06,2016-02-05,Marina,43,SF
"1050 N Point St, San Francisco, CA 94109",0,1,648,zillow_sf,http://www.zillow.com/homedetails/1050-N-Point-St-San-Francisco-CA-94109/63196505_zpid/,-122.425,37.8054,19.9768,1961,0,1,,0.007,101161,rental,3000,closed,30,2016-03-06,2016-02-05,Russian Hill,70,SF
"1186 Greenwich St, San Francisco, CA 94109",2,1,1482,zillow_sf,http://www.zillow.com/homedetails/1186-Greenwich-St-San-Francisco-CA-94109/15064653_zpid/,-122.419,37.8013,84.787,1911,0,1,,0.0112446,101176,rental,5500,closed,83,2015-03-22,2014-12-29,Russian Hill,70,SF
"1186 Greenwich St, San Francisco, CA 94109",2,1,1482,zillow_sf,http://www.zillow.com/homedetails/1186-Greenwich-St-San-Francisco-CA-94109/15064653_zpid/,-122.419,37.8013,84.787,1911,0,1,,0.0112446,101177,rental,4700,closed,31,2015-03-22,2015-02-19,Russian Hill,70,SF
"1186 Greenwich St, San Francisco, CA 94109",2,1,1482,zillow_sf,http://www.zillow.com/homedetails/1186-Greenwich-St-San-Francisco-CA-94109/15064653_zpid/,-122.419,37.8013,84.787,1911,0,1,,0.0112446,101178,rental,4900,closed,30,2016-03-06,2016-02-05,Russian Hill,70,SF
"1186 Greenwich St, San Francisco, CA 94109",2,1,1482,zillow_sf,http://www.zillow.com/homedetails/1186-Greenwich-St-San-Francisco-CA-94109/15064653_zpid/,-122.419,37.8013,84.787,1911,0,1,,0.0112446,101179,rental,4795,closed,23,2016-02-29,2016-02-06,Russian Hill,70,SF
"1342 Green St APT 2, San Francisco, CA 94109",1,1,1034,zillow_sf,http://www.zillow.com/homedetails/1342-Green-St-APT-2-San-Francisco-CA-94109/2099757403_zpid/,-122.421,37.7982,57.4411,1914,0,1,,0.00758222,101193,rental,4595,closed,22,2016-02-28,2016-02-06,Russian Hill,70,SF
"140 S Van Ness Ave UNIT 619, San Francisco, CA 94103",2,2,1075,zillow_sf,http://www.zillow.com/homedetails/140-S-Van-Ness-Ave-UNIT-619-San-Francisco-CA-94103/64969444_zpid/,-122.419,37.7716,9.43102,2002,0,1,,0.0103832,101194,rental,4750,closed,5,2016-02-10,2016-02-05,South of Market,75,SF
"1490 7th Ave, San Francisco, CA 94122",3,1,1950,zillow_sf,http://www.zillow.com/homedetails/1490-7th-Ave-San-Francisco-CA-94122/15106067_zpid/,-122.464,37.7606,96.6623,1916,1,1,,0.00403113,101198,rental,6850,closed,6,2016-02-09,2016-02-03,Inner Sunset,36,SF
"178 Day St, San Francisco, CA 94131",2,1,1005,zillow_sf,http://www.zillow.com/homedetails/178-Day-St-San-Francisco-CA-94131/69819398_zpid/,-122.426,37.7432,47.2027,1910,0,1,,0.00721388,101213,rental,5400,closed,2,2016-02-08,2016-02-06,Noe Valley,53,SF
"199 Tiffany Ave, San Francisco, CA 94110",2,2,1248,zillow_sf,http://www.zillow.com/homedetails/199-Tiffany-Ave-San-Francisco-CA-94110/2107379648_zpid/,-122.421,37.7444,34.9852,2004,0,1,,0.00360555,101224,rental,4750,closed,2,2016-02-09,2016-02-07,Bernal Heights,5,SF
"207 King St, San Francisco, CA 94107",2,2,1679,zillow_sf,http://www.zillow.com/homedetails/207-King-St-San-Francisco-CA-94107/2107019057_zpid/,-122.392,37.7776,4.00219,2003,0,1,,0.02,101242,rental,1550,closed,2,2014-05-18,2014-05-16,South Beach,74,SF
"2078 Green St, San Francisco, CA 94123",3,2,2000,zillow_sf,http://www.zillow.com/homedetails/2078-Green-St-San-Francisco-CA-94123/15071955_zpid/,-122.433,37.7966,44.2592,1909,1,1,,0.0047,101245,rental,8300,closed,2,2016-02-08,2016-02-06,Cow Hollow,11,SF
"2189 Market St APT 1, San Francisco, CA 94114",2,2,1019,zillow_sf,http://www.zillow.com/homedetails/2189-Market-St-APT-1-San-Francisco-CA-94114/59779670_zpid/,-122.43,37.7659,37.4696,2002,1,1,,0.00510784,101252,rental,4900,closed,47,2016-02-29,2016-01-13,Eureka Valley / Dolores Heights,16,SF
"240 Lombard St APT 931, San Francisco, CA 94111",1,1,525,zillow_sf,http://www.zillow.com/homedetails/240-Lombard-St-APT-931-San-Francisco-CA-94111/15064216_zpid/,-122.405,37.8041,5.97081,1993,1,9,,0.0004,101266,rental,3100,closed,22,2014-06-29,2014-06-07,North Waterfront,56,SF
"240 Lombard St, San Francisco, CA 94111",1,1,700,zillow_sf,http://www.zillow.com/homedetails/240-Lombard-St-San-Francisco-CA-94111/2134448514_zpid/,-122.405,37.8041,5.97081,1993,1,1,,0.0004,101268,rental,2250,closed,1,2011-07-30,2011-07-29,North Waterfront,56,SF
"240 Lombard St, San Francisco, CA 94111",1,1,700,zillow_sf,http://www.zillow.com/homedetails/240-Lombard-St-San-Francisco-CA-94111/2134448514_zpid/,-122.405,37.8041,5.97081,1993,1,1,,0.0004,101269,rental,2000,closed,763,2013-08-30,2011-07-29,North Waterfront,56,SF
"240 Lombard St, San Francisco, CA 94111",1,1,700,zillow_sf,http://www.zillow.com/homedetails/240-Lombard-St-San-Francisco-CA-94111/2134448514_zpid/,-122.405,37.8041,5.97081,1993,1,1,,0.0004,101270,rental,2600,closed,537,2015-04-25,2013-11-04,North Waterfront,56,SF
"240 Lombard St, San Francisco, CA 94111",1,1,700,zillow_sf,http://www.zillow.com/homedetails/240-Lombard-St-San-Francisco-CA-94111/2134448514_zpid/,-122.405,37.8041,5.97081,1993,1,1,,0.0004,101271,rental,3850,closed,370,2014-12-17,2013-12-12,North Waterfront,56,SF
"240 Lombard St, San Francisco, CA 94111",1,1,700,zillow_sf,http://www.zillow.com/homedetails/240-Lombard-St-San-Francisco-CA-94111/2134448514_zpid/,-122.405,37.8041,5.97081,1993,1,1,,0.0004,101272,rental,2900,closed,183,2014-09-25,2014-03-26,North Waterfront,56,SF
"240 Lombard St, San Francisco, CA 94111",1,1,700,zillow_sf,http://www.zillow.com/homedetails/240-Lombard-St-San-Francisco-CA-94111/2134448514_zpid/,-122.405,37.8041,5.97081,1993,1,1,,0.0004,101273,rental,3200,closed,42,2014-06-10,2014-04-29,North Waterfront,56,SF
"240 Lombard St, San Francisco, CA 94111",1,1,700,zillow_sf,http://www.zillow.com/homedetails/240-Lombard-St-San-Francisco-CA-94111/2134448514_zpid/,-122.405,37.8041,5.97081,1993,1,1,,0.0004,101274,rental,3100,closed,10,2014-06-10,2014-05-31,North Waterfront,56,SF
"240 Lombard St, San Francisco, CA 94111",1,1,700,zillow_sf,http://www.zillow.com/homedetails/240-Lombard-St-San-Francisco-CA-94111/2134448514_zpid/,-122.405,37.8041,5.97081,1993,1,1,,0.0004,101275,rental,3150,closed,30,2014-09-25,2014-08-26,North Waterfront,56,SF
"240 Lombard St, San Francisco, CA 94111",1,1,700,zillow_sf,http://www.zillow.com/homedetails/240-Lombard-St-San-Francisco-CA-94111/2134448514_zpid/,-122.405,37.8041,5.97081,1993,1,1,,0.0004,101276,rental,3950,closed,8,2014-12-17,2014-12-09,North Waterfront,56,SF
"240 Lombard St, San Francisco, CA 94111",1,1,700,zillow_sf,http://www.zillow.com/homedetails/240-Lombard-St-San-Francisco-CA-94111/2134448514_zpid/,-122.405,37.8041,5.97081,1993,1,1,,0.0004,101277,rental,3295,closed,15,2015-04-25,2015-04-10,North Waterfront,56,SF
"240 Lombard St, San Francisco, CA 94111",1,1,700,zillow_sf,http://www.zillow.com/homedetails/240-Lombard-St-San-Francisco-CA-94111/2134448514_zpid/,-122.405,37.8041,5.97081,1993,1,1,,0.0004,101278,rental,3750,closed,48,2015-09-03,2015-07-17,North Waterfront,56,SF
"240 Lombard St, San Francisco, CA 94111",1,1,700,zillow_sf,http://www.zillow.com/homedetails/240-Lombard-St-San-Francisco-CA-94111/2134448514_zpid/,-122.405,37.8041,5.97081,1993,1,1,,0.0004,101279,rental,3995,closed,23,2015-09-03,2015-08-11,North Waterfront,56,SF
"240 Lombard St, San Francisco, CA 94111",1,1,700,zillow_sf,http://www.zillow.com/homedetails/240-Lombard-St-San-Francisco-CA-94111/2134448514_zpid/,-122.405,37.8041,5.97081,1993,1,1,,0.0004,101283,rental,3995,closed,23,2016-02-26,2016-02-03,North Waterfront,56,SF
"2517 Lake St, San Francisco, CA 94121",3,2,1850,zillow_sf,http://www.zillow.com/homedetails/2517-Lake-St-San-Francisco-CA-94121/59700270_zpid/,-122.487,37.7854,49.4286,1915,0,1,,0.0067082,101292,rental,5600,closed,5,2016-02-09,2016-02-04,Lake Street,38,SF
