,address,ypred,list,gain-loss,gain-loss%,days_pred,url
6755683,"5532 Oakwood Ridge St, Las Vegas, NV 89130 ",139035.390625,196000,-56964.609375,-0.290635762117347,85.0931167602539,https://www.zillow.com/homedetails/5532-Oakwood-Ridge-St-Las-Vegas-NV-89130/6904691_zpid/
7471533,"374 Leisure World, Mesa, AZ 85206 ",66427.375,124999,-58571.625,-0.4685767486139889,258.82794189453125,https://www.zillow.com/homedetails/374-Leisure-World-Mesa-AZ-85206/2094830263_zpid/
1684531,"13018 W Butterfield Dr, Sun City West, AZ 85375 ",129712.0,189000,-59288.0,-0.3136931216931217,71.29841613769531,https://www.zillow.com/homedetails/13018-W-Butterfield-Dr-Sun-City-West-AZ-85375/8111531_zpid/
3641531,"5717 Grand Entries Dr, Las Vegas, NV 89130 ",121765.375,182000,-60234.625,-0.330959478021978,157.49473571777344,https://www.zillow.com/homedetails/5717-Grand-Entries-Dr-Las-Vegas-NV-89130/6897529_zpid/
7469996,"12726 W Mesa Verde Dr, Sun City West, AZ 85375 ",114646.8046875,175000,-60353.1953125,-0.3448754017857143,179.7701416015625,https://www.zillow.com/homedetails/12726-W-Mesa-Verde-Dr-Sun-City-West-AZ-85375/8110269_zpid/
413976,"6220 W Shangri La Rd, Glendale, AZ 85304 ",179392.921875,239900,-60507.078125,-0.2522179163192997,75.36054229736328,https://www.zillow.com/homedetails/6220-W-Shangri-La-Rd-Glendale-AZ-85304/7698366_zpid/
1697757,"14837 W Carbine Way, Sun City West, AZ 85375 ",178944.640625,239900,-60955.359375,-0.25408653345143806,87.49913024902344,https://www.zillow.com/homedetails/14837-W-Carbine-Way-Sun-City-West-AZ-85375/8123510_zpid/
7445594,"14221 W Parkland Dr, Sun City West, AZ 85375 ",172967.0,235000,-62033.0,-0.26397021276595745,73.582763671875,https://www.zillow.com/homedetails/14221-W-Parkland-Dr-Sun-City-West-AZ-85375/8115137_zpid/
424363,"9210 N 53rd Ave, Glendale, AZ 85302 ",115119.2109375,177500,-62380.7890625,-0.35144106514084505,80.18425750732422,https://www.zillow.com/homedetails/9210-N-53rd-Ave-Glendale-AZ-85302/7734138_zpid/
1703196,"18614 N 132nd Ave, Sun City West, AZ 85375 ",152604.953125,215000,-62395.046875,-0.2902095203488372,82.50997161865234,https://www.zillow.com/homedetails/18614-N-132nd-Ave-Sun-City-West-AZ-85375/8108261_zpid/
19352,"4323 E Smokehouse Trl, Cave Creek, AZ 85331 ",272104.96875,334900,-62795.03125,-0.18750382576888625,175.18711853027344,https://www.zillow.com/homedetails/4323-E-Smokehouse-Trl-Cave-Creek-AZ-85331/8829453_zpid/
1945112,"5029 Desert Fir Dr, Las Vegas, NV 89130 ",227009.34375,289999,-62989.65625,-0.21720646019469037,319.52825927734375,https://www.zillow.com/homedetails/5029-Desert-Fir-Dr-Las-Vegas-NV-89130/6905092_zpid/
999689,"2301 E Wildhorse Pl, Chandler, AZ 85286 ",171600.65625,235000,-63399.34375,-0.26978444148936165,90.82677459716797,https://www.zillow.com/homedetails/2301-E-Wildhorse-Pl-Chandler-AZ-85286/8209638_zpid/
417003,"4641 W Eva St, Glendale, AZ 85302 ",85929.265625,149500,-63570.734375,-0.42522230351170565,80.18425750732422,https://www.zillow.com/homedetails/4641-W-Eva-St-Glendale-AZ-85302/7729697_zpid/
3478785,"5329 Gipsy Ave, Las Vegas, NV 89107 ",100895.46875,164500,-63604.53125,-0.3866536854103343,351.9336853027344,https://www.zillow.com/homedetails/5329-Gipsy-Ave-Las-Vegas-NV-89107/6980093_zpid/
7415880,"13814 W Aleppo Dr, Sun City West, AZ 85375 ",95450.1875,159500,-64049.8125,-0.40156622257053287,71.55379486083984,https://www.zillow.com/homedetails/13814-W-Aleppo-Dr-Sun-City-West-AZ-85375/83129653_zpid/
2627722,"1547 Fashion Hill Dr, Houston, TX 77088 ",70374.140625,135000,-64625.859375,-0.4787100694444445,54.32555389404297,https://www.zillow.com/homedetails/1547-Fashion-Hill-Dr-Houston-TX-77088/28142808_zpid/
937971,"302 5th Ave W, Buckeye, AZ 85326 ",65283.1171875,130000,-64716.8828125,-0.49782217548076924,68.19351196289062,https://www.zillow.com/homedetails/302-5th-Ave-W-Buckeye-AZ-85326/8314377_zpid/
7376362,"10723 E Navajo Pl, Sun Lakes, AZ 85248 ",150211.03125,215000,-64788.96875,-0.3013440406976744,71.0171890258789,https://www.zillow.com/homedetails/10723-E-Navajo-Pl-Sun-Lakes-AZ-85248/8217517_zpid/
7434405,"14026 W Pavillion Dr, Sun City West, AZ 85375 ",159909.5625,224900,-64990.4375,-0.2889748221431747,76.2861328125,https://www.zillow.com/homedetails/14026-W-Pavillion-Dr-Sun-City-West-AZ-85375/8117524_zpid/
7457857,"5727 W Vista Ave, Glendale, AZ 85301 ",74656.9296875,140000,-65343.0703125,-0.4667362165178571,182.31472778320312,https://www.zillow.com/homedetails/5727-W-Vista-Ave-Glendale-AZ-85301/7726670_zpid/
3651631,"2721 Sungold Dr, Las Vegas, NV 89134 ",149613.53125,215000,-65386.46875,-0.3041231104651163,160.0231475830078,https://www.zillow.com/homedetails/2721-Sungold-Dr-Las-Vegas-NV-89134/6941261_zpid/
7459421,"11238 Carvel Ln, Houston, TX 77072 ",89612.9375,155000,-65387.0625,-0.4218520161290322,24.159940719604492,https://www.zillow.com/homedetails/11238-Carvel-Ln-Houston-TX-77072/28128176_zpid/
1536840,"10915 E Michigan Ave, Sun Lakes, AZ 85248 ",241449.15625,307000,-65550.84375,-0.2135206636807817,77.71904754638672,https://www.zillow.com/homedetails/10915-E-Michigan-Ave-Sun-Lakes-AZ-85248/8223909_zpid/
4093091,"5242 S Via Laguna Blanca, Tucson, AZ 85706 ",79335.9140625,145000,-65664.0859375,-0.45285576508620695,67.46942901611328,https://www.zillow.com/homedetails/5242-S-Via-Laguna-Blanca-Tucson-AZ-85706/55209664_zpid/
3482161,"808 Eastview Dr, Las Vegas, NV 89107 ",103471.8515625,169900,-66428.1484375,-0.39098380481165396,137.1570587158203,https://www.zillow.com/homedetails/808-Eastview-Dr-Las-Vegas-NV-89107/6957641_zpid/
7481500,"11833 W Bloomfield Rd, El Mirage, AZ 85335 ",106979.1640625,174000,-67020.8359375,-0.3851772180316092,247.0864715576172,https://www.zillow.com/homedetails/11833-W-Bloomfield-Rd-El-Mirage-AZ-85335/8829520_zpid/
3503715,"856 Dawn Dr, Las Vegas, NV 89110 ",101319.1796875,169000,-67680.8203125,-0.4004782267011834,243.6090087890625,https://www.zillow.com/homedetails/856-Dawn-Dr-Las-Vegas-NV-89110/7033604_zpid/
7433040,"4115 E Tonto St, Phoenix, AZ 85044 ",261021.921875,329000,-67978.078125,-0.20662029825227968,71.2969741821289,https://www.zillow.com/homedetails/4115-E-Tonto-St-Phoenix-AZ-85044/8151100_zpid/
3497237,"228 Romero Dr, Las Vegas, NV 89110 ",96458.875,164500,-68041.125,-0.41362386018237085,74.22408294677734,https://www.zillow.com/homedetails/228-Romero-Dr-Las-Vegas-NV-89110/7038463_zpid/
1912307,"6201 Grandross Ct, Las Vegas, NV 89130 ",118806.03125,187000,-68193.96875,-0.3646736296791444,33.81277084350586,https://www.zillow.com/homedetails/6201-Grandross-Ct-Las-Vegas-NV-89130/118196928_zpid/
5233121,"85 S 224TH Ave, Buckeye, AZ 85326 ",139645.578125,207900,-68254.421875,-0.3283040975228475,98.39925384521484,https://www.zillow.com/homedetails/85-S-224TH-Ave-Buckeye-AZ-85326/95145435_zpid/
7378506,"6916 Little Brook St, Las Vegas, NV 89131 ",206275.125,275000,-68724.875,-0.24990863636363636,37.908451080322266,https://www.zillow.com/homedetails/6916-Little-Brook-St-Las-Vegas-NV-89131/6894544_zpid/
7434660,"4249 E Towne Ln, Gilbert, AZ 85234 ",135718.375,206475,-70756.625,-0.34268858215280296,65.8325424194336,https://www.zillow.com/homedetails/4249-E-Towne-Ln-Gilbert-AZ-85234/8231185_zpid/
1348294,"5361 W Augusta Ave, Glendale, AZ 85301 ",105751.90625,177000,-71248.09375,-0.4025316031073446,65.8880844116211,https://www.zillow.com/homedetails/5361-W-Augusta-Ave-Glendale-AZ-85301/7726244_zpid/
