"Url","Sqft"
"http://www.climbsf.com/for-rent/1735-beach-st/"," 2,200"
"http://www.climbsf.com/for-rent/420-mission-bay-blvd-n-308/","NA"
"http://www.climbsf.com/for-rent/425-1st-st-3205/","NA"
"http://www.climbsf.com/for-rent/451-kansas-st-362/","NA"
"http://www.climbsf.com/for-rent/717-san-bruno-ave/","NA"
"http://www.climbsf.com/for-rent/217-theresa-st/","NA"
"http://www.climbsf.com/for-rent/338-spear-st-17g/","NA"
"http://www.climbsf.com/for-rent/1788-clay-st-701/"," 754"
"http://www.climbsf.com/for-rent/1839-jefferson-st/"," 1,460"
"http://www.climbsf.com/for-rent/461-2nd-st-557t/"," 1,812"
"http://www.climbsf.com/for-rent/935-union-st/"," 1,600"
"http://www.climbsf.com/for-rent/1782-quint-st/"," 1,270"
"http://www.climbsf.com/for-rent/1047-mississippi-st-7/"," 890"
"http://www.climbsf.com/for-rent/325-berry-st-710/"," 1,112"
"http://www.climbsf.com/for-rent/1945-jackson-st/"," 1,643"
"http://www.climbsf.com/for-rent/181-ofarrell-st-502/"," 1,499"
"http://www.climbsf.com/for-rent/555-4th-st-928/"," 694"
"http://www.climbsf.com/for-rent/301-mission-st-14d/"," 789"
"http://www.climbsf.com/for-rent/425-1st-st-3807/","NA"
"http://www.climbsf.com/for-rent/2-mint-plaza-203/","NA"
"http://www.climbsf.com/for-rent/425-1st-st-4404/","NA"
"http://www.climbsf.com/for-rent/301-crescent-ct-3107/"," 892"
"http://www.climbsf.com/for-rent/1661-18th-st/"," 1,050"
"http://www.climbsf.com/for-rent/338-spear-st-35c/","NA"
"http://www.climbsf.com/for-rent/229-brannan-st-17c/"," 1,387"
"http://www.climbsf.com/for-rent/101-marina-blvd/"," 3,000"
"http://www.climbsf.com/for-rent/330-mississippi-st/"," 1,735"
"http://www.climbsf.com/for-rent/767-bryant-st-403/"," 1,951"
"http://www.climbsf.com/for-rent/501-crescent-way-5107/"," 1,057"
"http://www.climbsf.com/for-rent/400-beale-st-706/"," 1,038"
"http://www.climbsf.com/for-rent/306-eureka-st/"," 756"
"http://www.climbsf.com/for-rent/240-lombard-st-435/"," 477"
"http://www.climbsf.com/for-rent/8-buchanan-st-600/"," 881"
"http://www.climbsf.com/for-rent/250-king-st-553/"," 556"
"http://www.climbsf.com/for-rent/400-beale-st-1312/"," 1,075"
"http://www.climbsf.com/for-rent/1328-mission-st-5/"," 1145"
"http://www.climbsf.com/for-rent/260-king-st-907/"," 896"
"http://www.climbsf.com/for-rent/155-wood-st-155/","NA"
"http://www.climbsf.com/for-rent/301-main-st-14f/"," 1,307"
"http://www.climbsf.com/for-rent/74-new-montgomery-st-416/"," 1,123"
"http://www.climbsf.com/for-rent/1160-mission-st-2303/"," 745"
"http://www.climbsf.com/for-rent/1325-indiana-st-308/"," 943"
