property_id,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source,pred_std
24086,"3247 W Mercer Ln, Phoenix, AZ 85029",3,1,1430,zillow_ph,http://www.zillow.com/homedetails/3247-W-Mercer-Ln-Phoenix-AZ-85029/7740408_zpid/,-112.13,33.585,381.081,1967,1,1,,,110018,rental,900,closed,122,2014-04-07,2013-12-06,North Mountain,176,PH,312.24757872730100000000
24086,"3247 W Mercer Ln, Phoenix, AZ 85029",3,1,1430,zillow_ph,http://www.zillow.com/homedetails/3247-W-Mercer-Ln-Phoenix-AZ-85029/7740408_zpid/,-112.13,33.585,381.081,1967,1,1,,,110019,rental,875,closed,95,2014-04-07,2014-01-02,North Mountain,176,PH,312.24757872730100000000
24086,"3247 W Mercer Ln, Phoenix, AZ 85029",3,1,1430,zillow_ph,http://www.zillow.com/homedetails/3247-W-Mercer-Ln-Phoenix-AZ-85029/7740408_zpid/,-112.13,33.585,381.081,1967,1,1,,,110020,rental,850,closed,72,2014-04-07,2014-01-25,North Mountain,176,PH,312.24757872730100000000
24086,"3247 W Mercer Ln, Phoenix, AZ 85029",3,1,1430,zillow_ph,http://www.zillow.com/homedetails/3247-W-Mercer-Ln-Phoenix-AZ-85029/7740408_zpid/,-112.13,33.585,381.081,1967,1,1,,,110021,rental,1030,closed,30,2016-03-12,2016-02-11,North Mountain,176,PH,312.24757872730100000000
24087,"4013 W Navajo Dr, Phoenix, AZ 85051",3,2,1814,zillow_ph,http://www.zillow.com/homedetails/4013-W-Navajo-Dr-Phoenix-AZ-85051/7753066_zpid/,-112.146,33.5555,365.067,1976,1,1,,,110029,rental,1100,closed,6,2016-02-17,2016-02-11,North Mountain,176,PH,312.36179075819600000000
24088,"4045 W Desert Cove Ave, Phoenix, AZ 85029",4,2,1791,zillow_ph,http://www.zillow.com/homedetails/4045-W-Desert-Cove-Ave-Phoenix-AZ-85029/7745017_zpid/,-112.146,33.5853,375.895,1978,1,1,,,110032,rental,1239,closed,16,2013-12-16,2013-11-30,North Mountain,176,PH,313.18560471024300000000
24088,"4045 W Desert Cove Ave, Phoenix, AZ 85029",4,2,1791,zillow_ph,http://www.zillow.com/homedetails/4045-W-Desert-Cove-Ave-Phoenix-AZ-85029/7745017_zpid/,-112.146,33.5853,375.895,1978,1,1,,,110033,rental,1239,closed,70,2014-04-07,2014-01-27,North Mountain,176,PH,313.18560471024300000000
24088,"4045 W Desert Cove Ave, Phoenix, AZ 85029",4,2,1791,zillow_ph,http://www.zillow.com/homedetails/4045-W-Desert-Cove-Ave-Phoenix-AZ-85029/7745017_zpid/,-112.146,33.5853,375.895,1978,1,1,,,115716,rental,1335,closed,4,2016-02-20,2016-02-16,North Mountain,176,PH,313.18560471024300000000
24089,"530 E Calavar Rd, Phoenix, AZ 85022",3,2,1340,zillow_ph,http://www.zillow.com/homedetails/530-E-Calavar-Rd-Phoenix-AZ-85022/7963134_zpid/,-112.069,33.6129,414.574,1973,1,1,,,110038,rental,1450,closed,3,2016-02-14,2016-02-11,North Mountain,176,PH,312.34734126569500000000
24090,"8029 N 32nd Ln, Phoenix, AZ 85051",2,1,924,zillow_ph,http://www.zillow.com/homedetails/8029-N-32nd-Ln-Phoenix-AZ-85051/7751808_zpid/,-112.129,33.5541,367.211,1979,0,1,,,110045,rental,595,closed,7,2016-02-18,2016-02-11,North Mountain,176,PH,311.55514848458800000000
