address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid
"1630 25th Ave, San Francisco, CA 94122",3,3,1320,zillow_sf,http://www.zillow.com/homedetails/1630-25th-Ave-San-Francisco-CA-94122/15109211_zpid/,-122.483,37.7571,81.9743,rental,5950,open,,,2015-07-18,Central Sunset,8
"33rd Ave San Francisco, CA 94122",2,1,1200,zillow_sf,http://www.zillow.com/homedetails/33rd-Ave-San-Francisco-CA-94122/2101417595_zpid/,-122.492,37.7582,79.5465,rental,4200,open,,,2015-08-13,Central Sunset,8
"23rd Ave San Francisco, CA 94122",4,2,2263,zillow_sf,http://www.zillow.com/homedetails/23rd-Ave-San-Francisco-CA-94122/2101340677_zpid/,-122.481,37.7587,78.9973,rental,5500,open,,,2015-08-21,Central Sunset,8
"1411 29th Ave, San Francisco, CA 94122",2,1,1200,zillow_sf,http://www.zillow.com/homedetails/1411-29th-Ave-San-Francisco-CA-94122/2101424874_zpid/,-122.488,37.7609,67.8427,rental,3500,open,,,2015-09-20,Central Sunset,8
"1284 28th Ave, San Francisco, CA 94122",3,1,1750,zillow_sf,http://www.zillow.com/homedetails/1284-28th-Ave-San-Francisco-CA-94122/15101700_zpid/,-122.487,37.7635,61.9136,rental,4975,open,,,2015-09-14,Central Sunset,8
"1234 26th Ave, San Francisco, CA 94122",4,3,2250,zillow_sf,http://www.zillow.com/homedetails/1234-26th-Ave-San-Francisco-CA-94122/15101784_zpid/,-122.484,37.7644,62.1603,rental,5800,open,,,2015-09-09,Central Sunset,8
"1290 23rd Ave, San Francisco, CA 94122",3,2,1300,zillow_sf,http://www.zillow.com/homedetails/1290-23rd-Ave-San-Francisco-CA-94122/64971491_zpid/,-122.481,37.7636,66.028,rental,4600,open,,,2015-09-25,Central Sunset,8
"1347 23rd Ave, San Francisco, CA 94122",4,1,2100,zillow_sf,http://www.zillow.com/homedetails/1347-23rd-Ave-San-Francisco-CA-94122/15103114_zpid/,-122.482,37.7625,67.6632,rental,5500,open,,,2015-09-22,Central Sunset,8
"1539 27th Ave, San Francisco, CA 94122",3,2,2208,zillow_sf,http://www.zillow.com/homedetails/1539-27th-Ave-San-Francisco-CA-94122/15107079_zpid/,-122.486,37.7587,83.5604,rental,4900,open,,,2015-09-22,Central Sunset,8
"1887 33rd Ave, San Francisco, CA 94122",2,1,1200,zillow_sf,http://www.zillow.com/homedetails/1887-33rd-Ave-San-Francisco-CA-94122/15112944_zpid/,-122.492,37.752,70.4884,rental,4000,open,,,2015-09-24,Central Sunset,8
100 Palo Alto Avenue,4,3,4800,climbsf_rented,http://www.climbsf.com/for-rent/100-palo-alto-ave/,-122.449,37.757,239.364,rental,11000,closed,,2015-06-24,,Clarendon Heights,9
"193 Saint Germain Ave, San Francisco, CA 94114",4,2,2810,zillow_sf,http://www.zillow.com/homedetails/193-Saint-Germain-Ave-San-Francisco-CA-94114/15130090_zpid/,-122.452,37.7572,233.296,rental,9950,open,,,2015-07-23,Clarendon Heights,9
"States St San Francisco, CA 94114",4,3,2800,zillow_sf,http://www.zillow.com/homedetails/States-St-San-Francisco-CA-94114/2102801110_zpid/,-122.439,37.7635,80.5353,rental,12995,open,,,2015-09-02,Corona Heights,10
"42 States St, San Francisco, CA 94114",4,3,2879,zillow_sf,http://www.zillow.com/homedetails/42-States-St-San-Francisco-CA-94114/59700322_zpid/,-122.436,37.7636,67.4907,rental,12000,open,,,2015-08-24,Corona Heights,10
"235 Roosevelt Way, San Francisco, CA 94114",2,1,785,zillow_sf,http://www.zillow.com/homedetails/235-Roosevelt-Way-San-Francisco-CA-94114/69819062_zpid/,-122.44,37.7659,113.74,rental,4150,open,,,2015-09-07,Corona Heights,10
"37 Diamond St, San Francisco, CA 94114",3,3,1900,zillow_sf,http://www.zillow.com/homedetails/37-Diamond-St-San-Francisco-CA-94114/2101210809_zpid/,-122.437,37.7619,42.9231,rental,6995,open,,,2015-09-21,Corona Heights,10
"4390 17th St, San Francisco, CA 94114",2,1,1200,zillow_sf,http://www.zillow.com/homedetails/4390-17th-St-San-Francisco-CA-94114/15128148_zpid/,-122.443,37.7622,96.5048,rental,4950,open,,,2015-09-24,Corona Heights,10
"16 Flint St, San Francisco, CA 94114",3,2,1401,zillow_sf,http://www.zillow.com/homedetails/16-Flint-St-San-Francisco-CA-94114/15127139_zpid/,-122.437,37.7643,79.0216,rental,7500,open,,,2015-09-15,Corona Heights,10
"2750 Market St, San Francisco, CA 94114",2,2,1200,zillow_sf,http://www.zillow.com/homedetails/2750-Market-St-San-Francisco-CA-94114/2132904225_zpid/,-122.439,37.7617,50.8858,rental,4795,open,,,2015-09-26,Corona Heights,10
"Greenwich St San Francisco, CA 94123",3,2,1500,zillow_sf,http://www.zillow.com/homedetails/Greenwich-St-San-Francisco-CA-94123/2103871868_zpid/,-122.436,37.799,18.5231,rental,10000,open,,,2015-01-04,Cow Hollow,11
"1541 Filbert St APT 5, San Francisco, CA 94123",3,2,1500,zillow_sf,http://www.zillow.com/homedetails/1541-Filbert-St-APT-5-San-Francisco-CA-94123/2107285609_zpid/,-122.425,37.7991,26.6807,rental,9000,open,,,2015-09-12,Cow Hollow,11
"2078 Green St, San Francisco, CA 94123",3,2,1976,zillow_sf,http://www.zillow.com/homedetails/2078-Green-St-San-Francisco-CA-94123/15071955_zpid/,-122.433,37.7966,44.2592,rental,10000,open,,,2015-09-19,Cow Hollow,11
"2260 Greenwich St, San Francisco, CA 94123",3,3,2000,zillow_sf,http://www.zillow.com/homedetails/2260-Greenwich-St-San-Francisco-CA-94123/2101095858_zpid/,-122.437,37.799,19.5425,rental,7000,open,,,2015-09-19,Cow Hollow,11
"3139-B Scott St, San Francisco, CA 94123",0,1,500,zillow_sf,http://www.zillow.com/homedetails/3139-B-Scott-St-San-Francisco-CA-94123/2101095547_zpid/,-122.441,37.7988,17.2982,rental,2275,open,,,2015-09-19,Cow Hollow,11
"Greenwich St San Francisco, CA 94123",3,3,2000,zillow_sf,http://www.zillow.com/homedetails/Greenwich-St-San-Francisco-CA-94123/2101049445_zpid/,-122.436,37.799,18.5231,rental,6500,open,,,2015-09-23,Cow Hollow,11
"Brunswick St San Francisco, CA 94112",1,1,0,zillow_sf,http://www.zillow.com/homedetails/Brunswick-St-San-Francisco-CA-94112/2101386811_zpid/,-122.446,37.7098,98.7771,rental,950,open,,,2015-08-16,Crocker Amazon,12
970 Duncan Street #304F,2,2,1175,climbsf_rented,http://www.climbsf.com/for-rent/970-duncan-st-304f/,-122.442,37.7454,187.545,rental,3300,closed,,2014-01-13,,Diamond Heights,13
