address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"2215 N 94th Ave, Phoenix, AZ 85037",4,2,3050,zillow_ph,http://www.zillow.com/homedetails/2215-N-94th-Ave-Phoenix-AZ-85037/67762938_zpid/,-112.262,33.4724,312.075,,,1,rental,1950,open,,,2015-08-21,Maryvale,208,PH
"3119 W Saint Catherine Ave, Phoenix, AZ 85041",5,2,3182,zillow_ph,http://www.zillow.com/homedetails/3119-W-Saint-Catherine-Ave-Phoenix-AZ-85041/67764948_zpid/,-112.126,33.3876,322.391,2005,0,1,rental,1250,open,,,2015-10-13,Laveen,158,PH
"3979 E Pollack St, Phoenix, AZ 85042",3,2,1458,zillow_ph,http://www.zillow.com/homedetails/3979-E-Pollack-St-Phoenix-AZ-85042/71599943_zpid/,-111.996,33.3804,362.844,,,1,rental,1215,open,,,2015-08-21,South Mountain,151,PH
"2215 W Spur Dr, Phoenix, AZ 85085",3,2,2231,zillow_ph,http://www.zillow.com/homedetails/2215-W-Spur-Dr-Phoenix-AZ-85085/71620818_zpid/,-112.106,33.7261,453.376,,,1,rental,1775,open,,,2015-08-13,Deer Valley,307,PH
"311 W Georgia Ave, Phoenix, AZ 85013",3,3,4000,zillow_ph,http://www.zillow.com/homedetails/311-W-Georgia-Ave-Phoenix-AZ-85013/7801750_zpid/,-112.079,33.5145,347.321,,,1,rental,6000,open,,,2015-08-21,Alahambra,201,PH
"3327 W La Salle St, Phoenix, AZ 85041",4,2,1601,zillow_ph,http://www.zillow.com/homedetails/3327-W-La-Salle-St-Phoenix-AZ-85041/71605325_zpid/,-112.13,33.3967,316.433,,,1,rental,1100,open,,,2015-08-21,Laveen,158,PH
"2315 E La Salle St, Phoenix, AZ 85040",4,2,3073,zillow_ph,http://www.zillow.com/homedetails/2315-E-La-Salle-St-Phoenix-AZ-85040/71612746_zpid/,-112.032,33.3974,339.732,,,1,rental,1550,open,,,2015-08-21,South Mountain,151,PH
"6329 W Constance Way, Laveen, AZ 85339",4,2,2208,zillow_ph,http://www.zillow.com/homedetails/6329-W-Constance-Way-Laveen-AZ-85339/71607660_zpid/,-112.196,33.375,305.219,,,1,rental,1200,open,,,2015-08-10,Laveen,158,PH
"6836 S 8th Dr, Phoenix, AZ 85041",3,2,1560,zillow_ph,http://www.zillow.com/homedetails/6836-S-8th-Dr-Phoenix-AZ-85041/81979614_zpid/,-112.084,33.384,344.396,,,1,rental,1200,open,,,2015-08-19,South Mountain,151,PH
"2555 E Robb Ln, Phoenix, AZ 85024",6,4,3903,zillow_ph,http://www.zillow.com/homedetails/2555-E-Robb-Ln-Phoenix-AZ-85024/82823824_zpid/,-112.028,33.7055,484.001,,,1,rental,2600,open,,,2015-08-12,Desert View,273,PH
"5124 W Andrea Dr, Phoenix, AZ 85083",4,3,3813,zillow_ph,http://www.zillow.com/homedetails/5124-W-Andrea-Dr-Phoenix-AZ-85083/72292081_zpid/,-112.17,33.7266,451.348,,,1,rental,2150,open,,,2015-08-21,Deer Valley,307,PH
"26704 N Babbling Brook Dr, Phoenix, AZ 85083",3,2,1661,zillow_ph,http://www.zillow.com/homedetails/26704-N-Babbling-Brook-Dr-Phoenix-AZ-85083/82823553_zpid/,-112.174,33.7262,449.979,,,1,rental,1375,open,,,2015-08-17,Deer Valley,307,PH
"6220 S 20th Gln, Phoenix, AZ 85041",3,2,1496,zillow_ph,http://www.zillow.com/homedetails/6220-S-20th-Gln-Phoenix-AZ-85041/2137405100_zpid/,-112.103,33.3897,331.065,,,1,rental,1250,open,,,2015-08-18,South Mountain,151,PH
"4313 E Folgers Rd, Phoenix, AZ 85050",4,2,3207,zillow_ph,http://www.zillow.com/homedetails/4313-E-Folgers-Rd-Phoenix-AZ-85050/92347095_zpid/,-111.978,33.6958,509.311,,,1,rental,2800,open,,,2015-06-23,Desert View,273,PH
