"Address","Neighborhood","Bedrooms","Bathrooms","Price","Rented","Date","Source"
"301 Mission Street #29F","South Beach",2,2.0,7975,True,"12/08/2014","Climb SF"
"743 Rhode Island Street","Potrero Hill",2,1.0,4800,True,"12/02/2014","Climb SF"
"720 York Street #214","Inner Mission",1,1.0,3500,True,"12/02/2014","Climb SF"
"115 Farnum Street","Glen Park",3,1.0,3800,True,"12/01/2014","Climb SF"
"271 Paris Street","Excelsior",1,1.0,2900,True,"12/01/2014","Climb SF"
"3065 Market Street","Eureka Valley-Dolores Heights",2,1.0,3900,True,"11/25/2014","Climb SF"
"55 Hancock Street","Eureka Valley-Dolores Heights",2,1.0,4400,True,"11/25/2014","Climb SF"
"325 Berry Street #422","Mission Bay",1,1.0,3700,True,"11/24/2014","Climb SF"
"50 Lansing Street #108","South Beach",1,1.5,3700,True,"11/24/2014","Climb SF"
"One Daniel Burnham Court #314","Van Ness-Civic Center",1,1.25,3180,True,"11/24/2014","Climb SF"
"198 Dolores Street #6","Mission Dolores",1,1.0,3400,True,"11/24/2014","Climb SF"
"88 Townsend Street #426","South Beach",0,1.0,3099,True,"11/24/2014","Climb SF"
"435 China Basin Street #118","Mission Bay",1,1.0,3625,True,"11/24/2014","Climb SF"
"325 Berry Street #416","Mission Bay",2,2.0,4500,True,"11/12/2014","Climb SF"
"555 Fourth Street #912","South Beach",0,1.0,2950,True,"11/11/2014","Climb SF"
"333 1st Street #N305","Rincon Hill",1,1.0,3900,True,"11/11/2014","Climb SF"
"567 Vallejo Street #301","North Beach",3,3.0,6950,True,"11/10/2014","Climb SF"
"223 Mississippi Street #2","Potrero Hill",2,1.0,5700,True,"11/05/2014","Climb SF"
"184 Cook Street","Lone Mountain",1,1.0,2800,True,"11/05/2014","Climb SF"
"425 1st Street #2005","Rincon Hill",1,1.0,3600,True,"11/04/2014","Climb SF"
"1299 Bush Street #303","Nob Hill",2,2.0,4300,True,"11/04/2014","Climb SF"
"2539 Larkin Street","Russian Hill",3,2.5,8500,True,"10/28/2014","Climb SF"
"1880 Jackson Street","Pacific Heights",1,1.0,4800,True,"10/21/2014","Climb SF"
"1160 Mission Street #1212","SOMA",1,1.0,3700,True,"10/14/2014","Climb SF"
"338 Spear Street #28B","South Beach",2,2.0,6900,True,"10/14/2014","Climb SF"
"2633 Harrison St.","Inner Mission",2,1.0,4600,True,"10/14/2014","Climb SF"
"325 China Basin Street #607","Mission Bay",2,2.0,5950,True,"10/08/2014","Climb SF"
"2125 Bryant Street #303","Inner Mission",0,1.0,3450,True,"10/08/2014","Climb SF"
"260 King Street #605","Mission Bay",2,2.0,4600,True,"10/02/2014","Climb SF"
"200 Townsend Street #47","South Beach",1,2.0,3700,True,"10/01/2014","Climb SF"
"425 First Street #3307","Rincon Hill",1,1.0,4500,True,"10/01/2014","Climb SF"
"338 Spear Street #39E","South Beach",3,2.0,7975,True,"09/30/2014","Climb SF"
"5800 Third Street #1109","Bayview",3,3.0,4500,True,"09/30/2014","Climb SF"
"234 Grand View Avenue","Noe Valley",3,2.5,7300,True,"09/26/2014","Climb SF"
"1260 Clay Street #208","Nob Hill",1,1.0,3600,True,"09/24/2014","Climb SF"
"2560 Vallejo Street","Pacific Heights",3,2.0,7050,True,"09/24/2014","Climb SF"
"205 Beacon Street","Glen Park",4,3.0,6000,True,"09/17/2014","Climb SF"
"301 Main Street #5C","South Beach",2,2.5,7000,True,"09/17/2014","Climb SF"
"301 Main Street #4F","South Beach",1,1.0,3575,True,"09/09/2014","Climb SF"
"3664 19th Street","Mission Dolores",2,1.0,4800,True,"09/09/2014","Climb SF"
"750 Van Ness Avenue #203","Van Ness-Civic Center",1,1.0,3100,True,"09/09/2014","Climb SF"
"863 Indiana Street","Central Waterfront",1,1.5,3800,True,"08/28/2014","Climb SF"
"50 Lansing Street #305","South Beach",2,2.0,4175,True,"08/19/2014","Climb SF"
"1737 Beach Street","Marina",3,3.5,8500,True,"08/19/2014","Climb SF"
"1515 15th Street","Inner Mission",0,1.0,3000,True,"08/19/2014","Climb SF"
"1310 Minnesota Street #203","Central Waterfront",1,2.0,3300,True,"08/19/2014","Climb SF"
"250 King Street #604","Mission Bay",0,1.0,2975,True,"08/13/2014","Climb SF"
"451 Kansas Street #436 ","Potrero Hill",0,1.0,2700,True,"08/12/2014","Climb SF"
"163 Liberty Street","Noe Valley",3,2.5,7500,True,"08/12/2014","Climb SF"
