,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,price,date_closed,date_listed,neighborhood,error,predicted_price
268,"11th Ave San Francisco, CA 94118",2,2,1100,zillow_sf,http://www.zillow.com/homedetails/11th-Ave-San-Francisco-CA-94118/2103990577_zpid/,-122.469,5200,,2014-12-20,Inner Richmond,-1146.3661716,4053.6338284
193,"1134 Masonic Ave, San Francisco, CA 94117",2,1,1650,zillow_sf,http://www.zillow.com/homedetails/1134-Masonic-Ave-San-Francisco-CA-94117/89240074_zpid/,-122.445,6000,,2015-08-14,Haight Ashbury,-1160.05568452,4839.94431548
718,"301 Main St, San Francisco, CA 94105",2,2,1300,zillow_sf,http://www.zillow.com/homedetails/301-Main-St-San-Francisco-CA-94105/2117405691_zpid/,-122.391,6500,,2015-09-16,South Beach,-1172.460226,5327.539774
385,"1151 Church St, San Francisco, CA 94114",2,1,940,zillow_sf,http://www.zillow.com/homedetails/1151-Church-St-San-Francisco-CA-94114/79843714_zpid/,-122.427,5475,,2015-08-21,Noe Valley,-1175.79273443,4299.20726557
2,"Mcallister St San Francisco, CA 94115",2,1,1150,zillow_sf,http://www.zillow.com/homedetails/Mcallister-St-San-Francisco-CA-94115/2103241785_zpid/,-122.436,5900,,2015-02-23,Alamo Square,-1194.91757366,4705.08242634
645,425 1st Street #3402,2,2,1309,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-3402/,-122.392,6600,2015-01-16,,South Beach,-1251.95771841,5348.04228159
7,"1180 Broderick St APT 304, San Francisco, CA 94115",2,2,1500,zillow_sf,http://www.zillow.com/homedetails/1180-Broderick-St-APT-304-San-Francisco-CA-94115/2101163514_zpid/,-122.441,6500,,2015-09-10,Anza Vista,-1272.45172547,5227.54827453
34,"846 30th Ave, San Francisco, CA 94121",3,2,1562,zillow_sf,http://www.zillow.com/homedetails/846-30th-Ave-San-Francisco-CA-94121/15099721_zpid/,-122.489,6300,,2015-09-18,Central Richmond,-1284.36883375,5015.63116625
189,"62 Cragmont Ave, San Francisco, CA 94116",3,2,1800,zillow_sf,http://www.zillow.com/homedetails/62-Cragmont-Ave-San-Francisco-CA-94116/15115392_zpid/,-122.467,6500,,2015-09-23,Golden Gate Heights,-1351.72317277,5148.27682723
536,"Lombard St San Francisco, CA 94133",2,1,1150,zillow_sf,http://www.zillow.com/homedetails/Lombard-St-San-Francisco-CA-94133/2103580084_zpid/,-122.419,6700,,2015-07-09,Russian Hill,-1382.22025949,5317.77974051
724,"260 King St, San Francisco, CA 94107",2,1,1099,zillow_sf,http://www.zillow.com/homedetails/260-King-St-San-Francisco-CA-94107/2105258395_zpid/,-122.394,5995,,2015-09-24,South Beach,-1438.12667483,4556.87332517
19,"212 Cortland Ave, San Francisco, CA 94110",3,2,1200,zillow_sf,http://www.zillow.com/homedetails/212-Cortland-Ave-San-Francisco-CA-94110/15162751_zpid/,-122.419,6500,,2015-08-04,Bernal Heights,-1491.01150309,5008.98849691
453,2560 Vallejo Street,3,2,1300,climbsf_rented,http://www.climbsf.com/for-rent/2560-vallejo-st/,-122.439,7050,2014-09-24,,Pacific Heights,-1529.72815764,5520.27184236
351,"480 Mission Bay Blvd N, San Francisco, CA 94158",2,2,1350,zillow_sf,http://www.zillow.com/homedetails/480-Mission-Bay-Blvd-N-San-Francisco-CA-94158/2115695534_zpid/,-122.389,6500,,2015-09-15,Mission Bay,-1577.41759857,4922.58240143
787,"525 Greenwich St, San Francisco, CA 94133",1,1,900,zillow_sf,http://www.zillow.com/homedetails/525-Greenwich-St-San-Francisco-CA-94133/2101179255_zpid/,-122.408,6000,,2015-09-13,Telegraph Hill,-1595.30046429,4404.69953571
702,"425 1st St UNIT 3103, San Francisco, CA 94105",2,2,1328,zillow_sf,http://www.zillow.com/homedetails/425-1st-St-UNIT-3103-San-Francisco-CA-94105/83154490_zpid/,-122.392,6995,,2015-08-14,South Beach,-1603.67464682,5391.32535318
95,"20th St San Francisco, CA 94114",2,1,850,zillow_sf,http://www.zillow.com/homedetails/20th-St-San-Francisco-CA-94114/2104055540_zpid/,-122.432,5700,,2015-05-14,Eureka Valley / Dolores Heights,-1609.34126873,4090.65873127
416,"209 Ashbury St, San Francisco, CA 94117",2,1,1100,zillow_sf,http://www.zillow.com/homedetails/209-Ashbury-St-San-Francisco-CA-94117/2101269163_zpid/,-122.448,6500,,2015-08-29,North Panhandle,-1617.55622142,4882.44377858
688,301 Main Street #35F,2,2,1323,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-35f/,-122.391,7000,2015-08-03,,South Beach,-1620.06492882,5379.93507118
