,address,ypred,list,gain-loss,rent,cap rate
1532577,"339 N Jefferson St, Wickenburg, AZ 85390",133614.46875,100000,33614.46875,35221.05859375,4.226526875
807210,"947 E Glade Ave, Mesa, AZ 85204 ",163440.5625,129900,33540.5625,4718.021484375,0.4358449408198614
400947,"11015 N 59th Dr, Glendale, AZ 85304",133430.453125,100000,33430.453125,3064.455322265625,0.3677346484375
870334,"517 E Corrall St, Avondale, AZ 85323",133430.453125,100000,33430.453125,4898.685546875,0.587842265625
135074,"17200 W Bell Rd LOT 1647, Surprise, AZ 85374",118180.8125,84900,33280.8125,3064.455322265625,0.4331385729534747
858516,"11380 W Apache St, Avondale, AZ 85323",123855.6640625,90734,33121.6640625,3064.455322265625,0.40528869931613287
96518,"2352 W Tanner Ranch Rd, Queen Creek, AZ 85142 ",193011.828125,159900,33111.828125,7790.416015625,0.5846466053001876
1845931,"9243 E Espana Ave, Mesa, AZ 85208",193011.828125,159900,33111.828125,3240.236572265625,0.24316973010475296
1425610,"3531 W Mariposa Grande, Glendale, AZ 85310",168001.296875,134900,33101.296875,4718.021484375,0.41969056940326166
312246,"1432 S 14th Ave, Phoenix, AZ 85007",110085.328125,77000,33085.328125,7790.416015625,1.2140908076298702
1934760,"28958 N 124th Ln, Peoria, AZ 85383 ",241713.984375,209000,32713.984375,35221.05859375,2.022261662679426
106266,"33206 N Cherry Creek Rd, San Tan Valley, AZ 85142 ",207257.59375,174600,32657.59375,20256.38671875,1.3921915270618557
214718,"1326 E Puget Ave, Phoenix, AZ 85020 ",167527.546875,134900,32627.546875,4064.20947265625,0.3615308793550778
1196269,"815 W Kyle Ct, Gilbert, AZ 85233",172503.0625,139900,32603.0625,7790.416015625,0.6682272493745532
15151,"1216 W Purdue Ave, Phoenix, AZ 85021",225571.984375,193000,32571.984375,3240.236572265625,0.2014654914183938
696451,"2850 W Mckinley St, Phoenix, AZ 85009",107527.5390625,75000,32527.5390625,7790.416015625,1.2464665625
828513,"3543 W Missouri Ave, Phoenix, AZ 85019",107527.5390625,75000,32527.5390625,7512.095703125,1.2019353125
331065,"4619 N 21st Ave, Phoenix, AZ 85015",132009.75,99500,32509.75,7512.095703125,0.9059813913316583
405690,"4818 W Phelps Rd, Glendale, AZ 85306",115496.2890625,83000,32496.2890625,4898.685546875,0.7082436935240964
7389071,"10412 W Oakmont Dr, Sun City, AZ 85351 ",101462.0625,69000,32462.0625,4718.021484375,0.8205254755434782
326906,"1920 W Oregon Ave, Phoenix, AZ 85015",117948.53125,85500,32448.53125,4718.021484375,0.6621784539473684
583685,"11034 E Segura Ave, Mesa, AZ 85212",247415.8125,215000,32415.8125,3064.455322265625,0.17103937136627906
1850683,"16838 N 104th Ave, Sun City, AZ 85351",201905.140625,169500,32405.140625,3064.455322265625,0.21695259494837757
