address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"146 Aurora Plz, Union City, CA 94587",2,2,897,zillow_alameda_county,http://www.zillow.com/homedetails/146-Aurora-Plz-Union-City-CA-94587/24919641_zpid/,-122.004,37.5923,18.781,1985,0,1,rental,2000,open,,,2015-10-28,UNION CITY,406,BAY_AREA
"39993 Fremont Blvd APT 110, Fremont, CA 94538",2,2,1150,zillow_alameda_county,http://www.zillow.com/homedetails/39993-Fremont-Blvd-APT-110-Fremont-CA-94538/2100721766_zpid/,-121.974,37.5405,16.7726,1987,0,1,rental,2650,open,,,2015-10-30,FREMONT,348,BAY_AREA
"1624 Milvia St APT 1, Berkeley, CA 94709",4,2,1250,zillow_alameda_county,http://www.zillow.com/homedetails/1624-Milvia-St-APT-1-Berkeley-CA-94709/2100722282_zpid/,-122.272,37.8771,65.5204,,0,1,rental,5000,open,,,2015-10-28,BERKELEY,327,BAY_AREA
"50 Queso Ct, Fremont, CA 94539",4,2,2166,zillow_alameda_county,http://www.zillow.com/homedetails/50-Queso-Ct-Fremont-CA-94539/25018803_zpid/,-121.96,37.5656,25.2354,1978,0,1,rental,3600,open,,,2015-10-28,FREMONT,348,BAY_AREA
"1254 E 12th St # STUDIO, Oakland, CA 94606",0,1,650,zillow_alameda_county,http://www.zillow.com/homedetails/1254-E-12th-St-STUDIO-Oakland-CA-94606/2100722485_zpid/,-122.248,37.7895,10.7297,1986,0,1,rental,2000,open,,,2015-10-28,OAKLAND,369,BAY_AREA
"5744 Gaskill St, Oakland, CA 94608",3,3,1640,zillow_alameda_county,http://www.zillow.com/homedetails/5744-Gaskill-St-Oakland-CA-94608/24754599_zpid/,-122.281,37.8416,15.0354,1920,0,1,rental,1100,closed,,2013-09-07,,EMERYVILLE,345,BAY_AREA
"8540 G St, Oakland, CA 94621",4,1,1100,zillow_alameda_county,http://www.zillow.com/homedetails/8540-G-St-Oakland-CA-94621/24797463_zpid/,-122.185,37.7488,5.22822,1947,0,1,rental,2000,closed,,2013-06-21,,OAKLAND,369,BAY_AREA
"7526 Stonedale Dr, Pleasanton, CA 94588",3,3,1988,zillow_alameda_county,http://www.zillow.com/homedetails/7526-Stonedale-Dr-Pleasanton-CA-94588/25067817_zpid/,-121.923,37.6903,103.394,1981,0,1,rental,2500,closed,,2012-11-08,,PLEASANTON,378,BAY_AREA
"1036 62nd St APT 3, Oakland, CA 94608",2,1,1125,zillow_alameda_county,http://www.zillow.com/homedetails/1036-62nd-St-APT-3-Oakland-CA-94608/2100777784_zpid/,-122.281,37.8457,15.6226,1960,0,1,rental,2200,closed,2,2015-10-30,2015-10-28,EMERYVILLE,345,BAY_AREA
"21777 Dolores St, Castro Valley, CA 94546",2,1,1018,zillow_alameda_county,http://www.zillow.com/homedetails/21777-Dolores-St-Castro-Valley-CA-94546/24963783_zpid/,-122.079,37.6872,46.4703,1948,0,1,rental,2250,open,,,2015-10-29,CASTRO VALLEY,333,BAY_AREA
"70 Yosemite Ave APT 302, Oakland, CA 94611",2,1,947,zillow_alameda_county,http://www.zillow.com/homedetails/70-Yosemite-Ave-APT-302-Oakland-CA-94611/24748090_zpid/,-122.254,37.8228,20.7445,1982,0,3,rental,3000,open,,,2015-10-29,OAKLAND,369,BAY_AREA
"6240 Acacia Ave, Oakland, CA 94618",4,3,2000,zillow_alameda_county,http://www.zillow.com/homedetails/6240-Acacia-Ave-Oakland-CA-94618/24811546_zpid/,-122.238,37.8442,129.755,1995,0,1,rental,1895000,closed,,2015-10-29,,OAKLAND,369,BAY_AREA
"6090 Joaquin Murieta Ave APT E, Newark, CA 94560",2,1,1132,zillow_alameda_county,http://www.zillow.com/homedetails/6090-Joaquin-Murieta-Ave-APT-E-Newark-CA-94560/25060045_zpid/,-121.997,37.5196,7.61621,1981,0,1,rental,2300,open,,,2015-10-29,NEWARK,366,BAY_AREA
"785 Pacific Ave, Alameda, CA 94501",3,2,1484,zillow_alameda_county,http://www.zillow.com/homedetails/785-Pacific-Ave-Alameda-CA-94501/24863547_zpid/,-122.273,37.7764,5.43221,1924,0,1,rental,3200,open,,,2015-10-29,ALAMEDA,317,BAY_AREA
"785 Pacific Ave, Alameda, CA 94501",3,2,1484,zillow_alameda_county,http://www.zillow.com/homedetails/785-Pacific-Ave-Alameda-CA-94501/24863547_zpid/,-122.273,37.7764,5.43221,1924,0,1,rental,3200,open,,,2015-10-29,BAY AND OCEAN,410,BAY_AREA
"34805 Starling Dr APT 4, Union City, CA 94587",2,1,810,zillow_alameda_county,http://www.zillow.com/homedetails/34805-Starling-Dr-APT-4-Union-City-CA-94587/24919279_zpid/,-122.02,37.5835,13.547,1972,0,1,rental,1800,open,,,2015-10-29,UNION CITY,406,BAY_AREA
"7920 Pineville Cir, Castro Valley, CA 94552",4,3,2535,zillow_alameda_county,http://www.zillow.com/homedetails/7920-Pineville-Cir-Castro-Valley-CA-94552/24917642_zpid/,-122.024,37.7153,259.179,1997,0,1,rental,3995,open,,,2015-10-29,CASTRO VALLEY,333,BAY_AREA
"37229 Elm St, Newark, CA 94560",3,2,1250,zillow_alameda_county,http://www.zillow.com/homedetails/37229-Elm-St-Newark-CA-94560/24921858_zpid/,-122.041,37.5258,5.32437,1928,0,1,rental,3100,open,,,2015-10-29,NEWARK,366,BAY_AREA
"7620 Hillside St, Oakland, CA 94605",2,1,800,zillow_alameda_county,http://www.zillow.com/homedetails/7620-Hillside-St-Oakland-CA-94605/24792889_zpid/,-122.171,37.7664,22.6495,1963,0,1,rental,1350,open,,,2015-10-29,OAKLAND,369,BAY_AREA
"33 Ronada Ave, Piedmont, CA 94611",2,1,1162,zillow_alameda_county,http://www.zillow.com/homedetails/33-Ronada-Ave-Piedmont-CA-94611/24750883_zpid/,-122.244,37.8291,56.7277,1958,0,1,rental,3495,open,,,2015-10-27,OAKLAND,369,BAY_AREA
"4782 Serra Ave, Fremont, CA 94538",3,2,1662,zillow_alameda_county,http://www.zillow.com/homedetails/4782-Serra-Ave-Fremont-CA-94538/25043668_zpid/,-121.994,37.5373,13.2188,1959,0,1,rental,3250,open,,,2015-10-30,FREMONT,348,BAY_AREA
"6515 Glen Oaks Way, Oakland, CA 94611",3,3,2027,zillow_alameda_county,http://www.zillow.com/homedetails/6515-Glen-Oaks-Way-Oakland-CA-94611/24817390_zpid/,-122.199,37.8398,344.905,1975,0,1,rental,4200,open,,,2015-10-29,OAKLAND,369,BAY_AREA
"6716 Macarthur Blvd, Oakland, CA 94605",2,1,760,zillow_alameda_county,http://www.zillow.com/homedetails/6716-Macarthur-Blvd-Oakland-CA-94605/82846429_zpid/,-122.177,37.7718,26.1446,1949,0,1,rental,1450,open,,,2015-10-29,OAKLAND,369,BAY_AREA
"27811 Dickens Ave, Hayward, CA 94544",3,2,1514,zillow_alameda_county,http://www.zillow.com/homedetails/27811-Dickens-Ave-Hayward-CA-94544/24992331_zpid/,-122.074,37.6302,7.21131,1954,0,1,rental,2850,open,,,2015-10-29,HAYWARD,351,BAY_AREA
"1434 10th St, Oakland, CA 94607",2,1,900,zillow_alameda_county,http://www.zillow.com/homedetails/1434-10th-St-Oakland-CA-94607/24738893_zpid/,-122.293,37.8083,6.18469,1907,0,1,rental,2700,open,,,2015-10-29,OAKLAND,369,BAY_AREA
"22530 3rd St, Hayward, CA 94541",0,0,1470,zillow_alameda_county,http://www.zillow.com/homedetails/22530-3rd-St-Hayward-CA-94541/24971809_zpid/,-122.078,37.677,42.4788,1994,0,1,rental,2100,open,,,2015-10-29,HAYWARD,351,BAY_AREA
"2040 Arrowhead Dr, Oakland, CA 94611",3,2,2000,zillow_alameda_county,http://www.zillow.com/homedetails/2040-Arrowhead-Dr-Oakland-CA-94611/24815691_zpid/,-122.192,37.8371,347.957,1981,0,1,rental,4950,open,,,2015-10-29,OAKLAND,369,BAY_AREA
"20259 Anita Ave, Castro Valley, CA 94546",2,1,5888,zillow_alameda_county,http://www.zillow.com/homedetails/20259-Anita-Ave-Castro-Valley-CA-94546/82850905_zpid/,-122.084,37.6978,54.0372,1977,0,1,rental,1850,open,,,2015-10-29,CASTRO VALLEY,333,BAY_AREA
"2651 Grande Vista Ave, Oakland, CA 94601",2,1,1046,zillow_alameda_county,http://www.zillow.com/homedetails/2651-Grande-Vista-Ave-Oakland-CA-94601/2107567891_zpid/,-122.226,37.7925,55.3142,1907,0,1,rental,1695,closed,2,2015-10-31,2015-10-29,OAKLAND,369,BAY_AREA
"2534 5th St, Livermore, CA 94550",0,1,314,zillow_alameda_county,http://www.zillow.com/homedetails/2534-5th-St-Livermore-CA-94550/2104894076_zpid/,-121.764,37.6797,153.659,1926,0,1,rental,795,open,,,2015-10-29,LIVERMORE,356,BAY_AREA
"801 Franklin St APT 419, Oakland, CA 94607",1,1,580,zillow_alameda_county,http://www.zillow.com/homedetails/801-Franklin-St-APT-419-Oakland-CA-94607/24737624_zpid/,-122.273,37.8003,12.2702,1976,1,4,rental,1600,open,,,2015-10-29,OAKLAND,369,BAY_AREA
"1580 Chandler St, Oakland, CA 94603",2,2,932,zillow_alameda_county,http://www.zillow.com/homedetails/1580-Chandler-St-Oakland-CA-94603/2104824179_zpid/,-122.163,37.7381,15.1522,2002,1,1,rental,2100,open,,,2015-10-29,OAKLAND,369,BAY_AREA
"143rd Ave San Leandro, CA 94578",2,2,1102,zillow_alameda_county,http://www.zillow.com/homedetails/143rd-Ave-San-Leandro-CA-94578/2100721122_zpid/,-122.138,37.7112,17.0815,1981,0,1,rental,2200,open,,,2015-10-29,SAN LEANDRO,390,BAY_AREA
"3706 Patterson Ave, Oakland, CA 94619",1,1,913,zillow_alameda_county,http://www.zillow.com/homedetails/3706-Patterson-Ave-Oakland-CA-94619/24775670_zpid/,-122.197,37.7919,63.0703,1924,0,1,rental,2500,open,,,2015-10-29,OAKLAND,369,BAY_AREA
"4144 Masterson St # A, Oakland, CA 94619",1,1,700,zillow_alameda_county,http://www.zillow.com/homedetails/4144-Masterson-St-A-Oakland-CA-94619/2100711052_zpid/,-122.195,37.7895,58.241,1950,0,1,rental,1675,open,,,2015-10-29,OAKLAND,369,BAY_AREA
"306 Lee St APT 305, Oakland, CA 94610",1,1,710,zillow_alameda_county,http://www.zillow.com/homedetails/306-Lee-St-APT-305-Oakland-CA-94610/2100712455_zpid/,-122.256,37.8117,24.1488,1963,0,3,rental,2475,closed,2,2015-10-31,2015-10-29,OAKLAND,369,BAY_AREA
"834 Bancroft Way APT 2, Berkeley, CA 94710",2,1,770,zillow_alameda_county,http://www.zillow.com/homedetails/834-Bancroft-Way-APT-2-Berkeley-CA-94710/2100713448_zpid/,-122.295,37.8634,11.9839,1966,0,1,rental,3150,open,,,2015-10-29,BERKELEY,327,BAY_AREA
"38700 Tyson Ln APT 208, Fremont, CA 94536",2,2,1124,zillow_alameda_county,http://www.zillow.com/homedetails/38700-Tyson-Ln-APT-208-Fremont-CA-94536/2100711600_zpid/,-121.974,37.5623,20.41,2000,1,2,rental,2700,open,,,2015-10-29,FREMONT,348,BAY_AREA
