address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
1766 Oakdale Avenue,2,2,1286,climbsf_rented,http://www.climbsf.com/for-rent/1766-oakdale-ave/,-122.393,37.7366,16.1859,,,rental,0,closed,,2015-10-04,,Bayview,4,SF
5800 Third Street #1411,1,1,817,climbsf_renting,http://www.climbsf.com/for-rent/5800-3rd-st-1411/,-122.395,37.7253,7.88801,,,rental,2900,closed,3,2015-08-26,2015-08-23,Bayview,4,SF
"981 Ingerson Ave, San Francisco, CA 94124",4,3,1550,zillow_sf,http://www.zillow.com/homedetails/981-Ingerson-Ave-San-Francisco-CA-94124/15154852_zpid/,-122.393,37.7188,27.5464,,,rental,5300,closed,23,2015-10-01,2015-09-08,Bayview,4,SF
"1371 Palou Ave, San Francisco, CA 94124",2,1,1000,zillow_sf,http://www.zillow.com/homedetails/1371-Palou-Ave-San-Francisco-CA-94124/15153741_zpid/,-122.387,37.7313,31.8867,1900,0,rental,3750,closed,9,2015-10-07,2015-09-28,Bayview,4,SF
"27 Latona St, San Francisco, CA 94124",2,1,970,zillow_sf,http://www.zillow.com/homedetails/27-Latona-St-San-Francisco-CA-94124/15157659_zpid/,-122.392,37.732,32.4873,1960,0,rental,3250,open,,,2015-10-07,Bayview,4,SF
1688 Wallace Avenue #201,2,2,843,climbsf_renting,http://www.climbsf.com/for-rent/1688-wallace-ave-201/,-122.393,37.7285,11.1084,,,rental,2950,closed,,2015-10-03,,Bayview,4,SF
"55 Lucy St, San Francisco, CA 94124",2,1,1000,zillow_sf,http://www.zillow.com/homedetails/55-Lucy-St-San-Francisco-CA-94124/15158913_zpid/,-122.393,37.73,24.4766,1930,0,rental,3100,open,,,2015-09-29,Bayview,4,SF
"Jerrold Ave San Francisco, CA 94124",3,2,0,zillow_sf,http://www.zillow.com/homedetails/Jerrold-Ave-San-Francisco-CA-94124/2100979623_zpid/,-122.388,37.7377,23.9183,,0,rental,3475,closed,4,2015-10-04,2015-09-30,Bayview,4,SF
"2924 Griffith St, San Francisco, CA 94124",3,1,966,zillow_sf,http://www.zillow.com/homedetails/2924-Griffith-St-San-Francisco-CA-94124/15154893_zpid/,-122.39,37.7167,33.4399,1914,0,rental,5025,open,,,2015-10-07,Bayview,4,SF
"160 Orsi Cir, San Francisco, CA 94124",3,2,1620,zillow_sf,http://www.zillow.com/homedetails/160-Orsi-Cir-San-Francisco-CA-94124/15159149_zpid/,-122.398,37.7275,11.8514,1998,0,rental,4000,open,,,2015-10-10,Bayview,4,SF
723 Ellsworth Street,3,2,1750,climbsf_rented,http://www.climbsf.com/for-rent/723-ellsworth-st/,-122.415,37.7343,37.6665,,,rental,3450,closed,,2013-10-22,,Bernal Heights,5,SF
501 Crescent Way #5107,2,2,1057,climbsf_rented,http://www.climbsf.com/for-rent/501-crescent-way-5107/,-122.416,37.735,48.1922,,,rental,2800,closed,,2014-06-02,,Bernal Heights,5,SF
1 College Avenue,3,2,1600,climbsf_rented,http://www.climbsf.com/for-rent/1-college-ave/,-122.428,37.7347,60.2336,,,rental,5300,closed,,2015-07-08,,Bernal Heights,5,SF
301 Crescent Court #3107,2,2,892,climbsf_renting,http://www.climbsf.com/for-rent/301-crescent-ct-3107/,-122.419,37.7352,63.9895,,,rental,3150,closed,4,2015-08-27,2015-08-23,Bernal Heights,5,SF
"212 Cortland Ave, San Francisco, CA 94110",3,2,1200,zillow_sf,http://www.zillow.com/homedetails/212-Cortland-Ave-San-Francisco-CA-94110/15162751_zpid/,-122.419,37.7394,79.8597,,,rental,6500,open,,,2015-08-04,Bernal Heights,5,SF
"339 Elsie St, San Francisco, CA 94110",4,3,1850,zillow_sf,http://www.zillow.com/homedetails/339-Elsie-St-San-Francisco-CA-94110/15162738_zpid/,-122.42,37.7387,86.9865,,,rental,7500,open,,,2015-01-14,Bernal Heights,5,SF
"165 Crescent Ave, San Francisco, CA 94110",1,1,560,zillow_sf,http://www.zillow.com/homedetails/165-Crescent-Ave-San-Francisco-CA-94110/15164323_zpid/,-122.421,37.7353,75.2007,,,rental,4000,open,,,2015-07-28,Bernal Heights,5,SF
"112 Ripley St, San Francisco, CA 94110",1,1,574,zillow_sf,http://www.zillow.com/homedetails/112-Ripley-St-San-Francisco-CA-94110/2101198723_zpid/,-122.413,37.744,71.7004,,,rental,3100,open,,,2015-09-05,Bernal Heights,5,SF
"3179 Cesar Chavez, San Francisco, CA 94110",3,2,1625,zillow_sf,http://www.zillow.com/homedetails/3179-Cesar-Chavez-San-Francisco-CA-94110/15159678_zpid/,-122.413,37.7479,20.2428,1900,0,rental,4650,open,,,2015-10-12,Bernal Heights,5,SF
"Cortland Ave San Francisco, CA 94110",4,2,0,zillow_sf,http://www.zillow.com/homedetails/Cortland-Ave-San-Francisco-CA-94110/2104086314_zpid/,-122.415,37.7389,69.0465,,0,rental,7500,closed,6,2015-10-04,2015-09-28,Bernal Heights,5,SF
"342 Moultrie St, San Francisco, CA 94110",3,1,1200,zillow_sf,http://www.zillow.com/homedetails/342-Moultrie-St-San-Francisco-CA-94110/15162407_zpid/,-122.416,37.7398,80.0792,1849,0,rental,5000,open,,,2015-10-03,Bernal Heights,5,SF
"289 Crescent Ave, San Francisco, CA 94110",2,2,912,zillow_sf,http://www.zillow.com/homedetails/289-Crescent-Ave-San-Francisco-CA-94110/15164262_zpid/,-122.419,37.7352,64.8636,1952,0,rental,4995,open,,,2015-10-08,Bernal Heights,5,SF
355 Buena Vista Avenue East #305W,1,1,730,climbsf_rented,http://www.climbsf.com/for-rent/355-buena-vista-avenue-east-305w/,-122.44,37.7673,130.553,,,rental,2700,closed,,2013-05-21,,Buena Vista Park/Ashbury Heights,6,SF
"342 Upper Ter, San Francisco, CA 94117",2,1,1200,zillow_sf,http://www.zillow.com/homedetails/342-Upper-Ter-San-Francisco-CA-94117/89238855_zpid/,-122.446,37.7625,157.982,,,rental,4600,closed,68,2015-10-03,2015-07-27,Buena Vista Park/Ashbury Heights,6,SF
"355 Buena Vista Ave E UNIT 207, San Francisco, CA 94117",1,1,781,zillow_sf,http://www.zillow.com/homedetails/355-Buena-Vista-Ave-E-UNIT-207-San-Francisco-CA-94117/15126722_zpid/,-122.44,37.7673,130.553,1986,0,rental,3800,open,,,2015-10-01,Buena Vista Park/Ashbury Heights,6,SF
"109 Alpine Ter, San Francisco, CA 94117",4,5,2182,zillow_sf,http://www.zillow.com/homedetails/109-Alpine-Ter-San-Francisco-CA-94117/15126971_zpid/,-122.437,37.7688,101.11,2011,1,rental,22950,open,,,2015-10-09,Buena Vista Park/Ashbury Heights,6,SF
"1126 Ashbury St, San Francisco, CA 94117",2,1,1095,zillow_sf,http://www.zillow.com/homedetails/1126-Ashbury-St-San-Francisco-CA-94117/54854576_zpid/,-122.447,37.7627,134.112,,,rental,4795,closed,,2015-10-11,,Buena Vista Park/Ashbury Heights,6,SF
"956 Ashbury St, San Francisco, CA 94117",5,2,1842,zillow_sf,http://www.zillow.com/homedetails/956-Ashbury-St-San-Francisco-CA-94117/15127213_zpid/,-122.446,37.7649,131.221,1910,1,rental,10800,open,,,2015-10-08,Buena Vista Park/Ashbury Heights,6,SF
657 26th Avenue,2,1,1300,climbsf_rented,http://www.climbsf.com/for-rent/657-26th-ave/,-122.486,37.7771,58.5165,,,rental,3700,closed,,2013-12-26,,Central Richmond,7,SF
374 27th Avenue,2,1,1350,climbsf_rented,http://www.climbsf.com/for-rent/374-27th-ave/,-122.487,37.7824,49.1082,,,rental,3900,closed,,2014-01-29,,Central Richmond,7,SF
655 26th Avenue,2,1,1750,climbsf_rented,http://www.climbsf.com/for-rent/655-26th-ave/,-122.486,37.7771,59.403,,,rental,4600,closed,,2015-08-18,,Central Richmond,7,SF
"2443 Clement St # 7, San Francisco, CA 94121",2,2,0,zillow_sf,http://www.zillow.com/homedetails/2443-Clement-St-7-San-Francisco-CA-94121/2140944175_zpid/,-122.486,37.7818,44.4868,,,rental,3600,closed,10,2015-10-03,2015-09-23,Central Richmond,7,SF
"846 30th Ave, San Francisco, CA 94121",3,2,1562,zillow_sf,http://www.zillow.com/homedetails/846-30th-Ave-San-Francisco-CA-94121/15099721_zpid/,-122.489,37.7733,46.7235,1931,0,rental,6300,open,,,2015-09-18,Central Richmond,7,SF
"570 20th Ave, San Francisco, CA 94121",2,1,1350,zillow_sf,http://www.zillow.com/homedetails/570-20th-Ave-San-Francisco-CA-94121/15095303_zpid/,-122.479,37.7771,48.1917,1922,0,rental,3995,open,,,2015-10-09,Central Richmond,7,SF
"2036 Balboa St, San Francisco, CA 94121",0,1,0,zillow_sf,http://www.zillow.com/homedetails/2036-Balboa-St-San-Francisco-CA-94121/2122239207_zpid/,-122.481,37.7765,53.3808,,0,rental,1850,closed,2,2015-10-04,2015-10-02,Central Richmond,7,SF
"533 23rd Ave, San Francisco, CA 94121",2,2,1200,zillow_sf,http://www.zillow.com/homedetails/533-23rd-Ave-San-Francisco-CA-94121/2100955884_zpid/,-122.482,37.7776,45.4973,,0,rental,4500,open,,,2015-10-02,Central Richmond,7,SF
"442 20th Ave APT 2, San Francisco, CA 94121",3,2,1468,zillow_sf,http://www.zillow.com/homedetails/442-20th-Ave-APT-2-San-Francisco-CA-94121/69819033_zpid/,-122.479,37.7795,47.0067,2005,0,rental,5150,open,,,2015-10-06,Central Richmond,7,SF
1384 29th Avenue,2,1,0,climbsf_renting,http://www.climbsf.com/for-rent/1384-29th-ave/,-122.488,37.7615,65.9977,,,rental,3400,closed,7,2015-10-04,2015-09-27,Central Sunset,8,SF
"1822 20th Ave, San Francisco, CA 94122",3,1,1930,zillow_sf,http://www.zillow.com/homedetails/1822-20th-Ave-San-Francisco-CA-94122/15112285_zpid/,-122.477,37.7537,110.095,1923,0,rental,4500,open,,,2015-10-08,Central Sunset,8,SF
"1630 25th Ave, San Francisco, CA 94122",3,3,1320,zillow_sf,http://www.zillow.com/homedetails/1630-25th-Ave-San-Francisco-CA-94122/15109211_zpid/,-122.483,37.7571,81.9743,,,rental,5950,open,,,2015-07-18,Central Sunset,8,SF
"23rd Ave San Francisco, CA 94122",4,2,2263,zillow_sf,http://www.zillow.com/homedetails/23rd-Ave-San-Francisco-CA-94122/2101340677_zpid/,-122.481,37.7587,78.9973,,,rental,5500,open,,,2015-08-21,Central Sunset,8,SF
"1411 29th Ave, San Francisco, CA 94122",2,1,1200,zillow_sf,http://www.zillow.com/homedetails/1411-29th-Ave-San-Francisco-CA-94122/2101424874_zpid/,-122.488,37.7609,67.8427,,,rental,3350,closed,5,2015-10-05,2015-09-30,Central Sunset,8,SF
"1284 28th Ave, San Francisco, CA 94122",3,1,1750,zillow_sf,http://www.zillow.com/homedetails/1284-28th-Ave-San-Francisco-CA-94122/15101700_zpid/,-122.487,37.7635,61.9136,,,rental,4975,closed,23,2015-10-07,2015-09-14,Central Sunset,8,SF
"1234 26th Ave, San Francisco, CA 94122",4,3,2250,zillow_sf,http://www.zillow.com/homedetails/1234-26th-Ave-San-Francisco-CA-94122/15101784_zpid/,-122.484,37.7644,62.1603,1926,0,rental,5800,closed,28,2015-10-07,2015-09-09,Central Sunset,8,SF
"1290 23rd Ave, San Francisco, CA 94122",3,2,1300,zillow_sf,http://www.zillow.com/homedetails/1290-23rd-Ave-San-Francisco-CA-94122/64971491_zpid/,-122.481,37.7636,66.028,2004,0,rental,4600,open,,,2015-09-25,Central Sunset,8,SF
"1347 23rd Ave, San Francisco, CA 94122",4,1,2100,zillow_sf,http://www.zillow.com/homedetails/1347-23rd-Ave-San-Francisco-CA-94122/15103114_zpid/,-122.482,37.7625,67.6632,1915,1,rental,5195,open,,,2015-10-03,Central Sunset,8,SF
"1539 27th Ave, San Francisco, CA 94122",3,2,2208,zillow_sf,http://www.zillow.com/homedetails/1539-27th-Ave-San-Francisco-CA-94122/15107079_zpid/,-122.486,37.7587,83.5604,1938,0,rental,4900,open,,,2015-09-22,Central Sunset,8,SF
"1887 33rd Ave, San Francisco, CA 94122",2,1,1200,zillow_sf,http://www.zillow.com/homedetails/1887-33rd-Ave-San-Francisco-CA-94122/15112944_zpid/,-122.492,37.752,70.4884,,,rental,4000,open,,,2015-09-24,Central Sunset,8,SF
"1207 32nd Ave, San Francisco, CA 94122",3,1,1310,zillow_sf,http://www.zillow.com/homedetails/1207-32nd-Ave-San-Francisco-CA-94122/15101464_zpid/,-122.491,37.7646,52.5556,1923,1,rental,4000,open,,,2015-10-02,Central Sunset,8,SF
"3301 Irving St, San Francisco, CA 94122",1,1,450,zillow_sf,http://www.zillow.com/homedetails/3301-Irving-St-San-Francisco-CA-94122/15103576_zpid/,-122.493,37.7626,51.5319,1944,0,rental,1600,open,,,2015-10-12,Central Sunset,8,SF
100 Palo Alto Avenue,4,3,4800,climbsf_rented,http://www.climbsf.com/for-rent/100-palo-alto-ave/,-122.449,37.757,239.364,,,rental,11000,closed,,2015-06-24,,Clarendon Heights,9,SF
"193 Saint Germain Ave, San Francisco, CA 94114",4,2,2810,zillow_sf,http://www.zillow.com/homedetails/193-Saint-Germain-Ave-San-Francisco-CA-94114/15130090_zpid/,-122.452,37.7572,233.296,1962,1,rental,9950,closed,76,2015-10-07,2015-07-23,Clarendon Heights,9,SF
"States St San Francisco, CA 94114",4,3,2800,zillow_sf,http://www.zillow.com/homedetails/States-St-San-Francisco-CA-94114/2102801110_zpid/,-122.439,37.7635,80.5353,,,rental,12995,closed,32,2015-10-04,2015-09-02,Corona Heights,10,SF
"42 States St, San Francisco, CA 94114",4,3,2879,zillow_sf,http://www.zillow.com/homedetails/42-States-St-San-Francisco-CA-94114/59700322_zpid/,-122.436,37.7636,67.4907,2001,1,rental,9995,open,,,2015-10-10,Corona Heights,10,SF
"235 Roosevelt Way, San Francisco, CA 94114",2,1,785,zillow_sf,http://www.zillow.com/homedetails/235-Roosevelt-Way-San-Francisco-CA-94114/69819062_zpid/,-122.44,37.7659,113.74,,,rental,4150,open,,,2015-09-07,Corona Heights,10,SF
"37 Diamond St, San Francisco, CA 94114",3,3,1900,zillow_sf,http://www.zillow.com/homedetails/37-Diamond-St-San-Francisco-CA-94114/2101210809_zpid/,-122.437,37.7619,42.9231,,,rental,6995,closed,16,2015-10-07,2015-09-21,Corona Heights,10,SF
"4390 17th St, San Francisco, CA 94114",2,1,1200,zillow_sf,http://www.zillow.com/homedetails/4390-17th-St-San-Francisco-CA-94114/15128148_zpid/,-122.443,37.7622,96.5048,1900,0,rental,4800,open,,,2015-10-02,Corona Heights,10,SF
"16 Flint St, San Francisco, CA 94114",3,2,1401,zillow_sf,http://www.zillow.com/homedetails/16-Flint-St-San-Francisco-CA-94114/15127139_zpid/,-122.437,37.7643,79.0216,,,rental,7500,open,,,2015-09-15,Corona Heights,10,SF
"2750 Market St, San Francisco, CA 94114",2,2,1200,zillow_sf,http://www.zillow.com/homedetails/2750-Market-St-San-Francisco-CA-94114/2132904225_zpid/,-122.439,37.7617,50.8858,,,rental,4795,closed,13,2015-10-09,2015-09-26,Corona Heights,10,SF
"64-66 Deming Street 64 Deming St, San Francisco, CA 94114",2,2,900,zillow_sf,http://www.zillow.com/homedetails/64-66-Deming-Street-64-Deming-St-San-Francisco-CA-94114/2100954236_zpid/,-122.446,37.7607,132.986,1927,0,rental,5500,open,,,2015-10-02,Corona Heights,10,SF
"Greenwich St San Francisco, CA 94123",3,2,1500,zillow_sf,http://www.zillow.com/homedetails/Greenwich-St-San-Francisco-CA-94123/2103871868_zpid/,-122.436,37.799,18.5231,,,rental,10000,open,,,2015-01-04,Cow Hollow,11,SF
"1541 Filbert St APT 5, San Francisco, CA 94123",3,2,1600,zillow_sf,http://www.zillow.com/homedetails/1541-Filbert-St-APT-5-San-Francisco-CA-94123/2107285609_zpid/,-122.425,37.7991,26.6807,1962,0,rental,9000,closed,32,2015-10-14,2015-09-12,Cow Hollow,11,SF
"2078 Green St, San Francisco, CA 94123",2,2,1976,zillow_sf,http://www.zillow.com/homedetails/2078-Green-St-San-Francisco-CA-94123/15071955_zpid/,-122.433,37.7966,44.2592,1909,1,rental,9000,open,,,2015-10-08,Cow Hollow,11,SF
"2260 Greenwich St, San Francisco, CA 94123",3,3,2000,zillow_sf,http://www.zillow.com/homedetails/2260-Greenwich-St-San-Francisco-CA-94123/2101095858_zpid/,-122.437,37.799,19.5425,,,rental,7000,open,,,2015-09-19,Cow Hollow,11,SF
"Greenwich St San Francisco, CA 94123",3,3,2000,zillow_sf,http://www.zillow.com/homedetails/Greenwich-St-San-Francisco-CA-94123/2101049445_zpid/,-122.436,37.799,18.5231,1920,0,rental,6500,closed,11,2015-10-04,2015-09-23,Cow Hollow,11,SF
"2378 Union St # A, San Francisco, CA 94123",1,1,436,zillow_sf,http://www.zillow.com/homedetails/2378-Union-St-A-San-Francisco-CA-94123/15071817_zpid/,-122.438,37.797,32.0092,1906,0,rental,4000,open,,,2015-10-06,Cow Hollow,11,SF
"2839 Pierce Street # Top Floor, San Francisco, CA 94123",2,2,1450,zillow_sf,http://www.zillow.com/homedetails/2839-Pierce-Street-Top-Floor-San-Francisco-CA-94123/2100891977_zpid/,-122.44,37.798,29.203,1947,0,rental,5950,open,,,2015-10-09,Cow Hollow,11,SF
"2885 Union St, San Francisco, CA 94123",3,3,2334,zillow_sf,http://www.zillow.com/homedetails/2885-Union-St-San-Francisco-CA-94123/15080567_zpid/,-122.447,37.7955,46.1909,1913,0,rental,16000,open,,,2015-10-10,Cow Hollow,11,SF
"Brunswick St San Francisco, CA 94112",1,1,0,zillow_sf,http://www.zillow.com/homedetails/Brunswick-St-San-Francisco-CA-94112/2101386811_zpid/,-122.446,37.7098,98.7771,,,rental,950,open,,,2015-08-16,Crocker Amazon,12,SF
"86 Chicago Way, San Francisco, CA 94112",4,2,1527,zillow_sf,http://www.zillow.com/homedetails/86-Chicago-Way-San-Francisco-CA-94112/15177518_zpid/,-122.43,37.711,97.6927,,,rental,4500,closed,11,2015-10-09,2015-09-28,Crocker Amazon,12,SF
970 Duncan Street #304F,2,2,1175,climbsf_rented,http://www.climbsf.com/for-rent/970-duncan-st-304f/,-122.442,37.7454,187.545,,,rental,3300,closed,,2014-01-13,,Diamond Heights,13,SF
"20 Quartz Way, San Francisco, CA 94131",6,3,2900,zillow_sf,http://www.zillow.com/homedetails/20-Quartz-Way-San-Francisco-CA-94131/15198789_zpid/,-122.446,37.7457,159.367,,,rental,8500,open,,,2015-08-06,Diamond Heights,13,SF
"Crags Ct San Francisco, CA 94131",4,2,0,zillow_sf,http://www.zillow.com/homedetails/Crags-Ct-San-Francisco-CA-94131/2101943191_zpid/,-122.44,37.7411,150.685,,0,rental,6800,closed,37,2015-10-04,2015-08-28,Diamond Heights,13,SF
"38 Cameo Way, San Francisco, CA 94131",2,1,1700,zillow_sf,http://www.zillow.com/homedetails/38-Cameo-Way-San-Francisco-CA-94131/15198816_zpid/,-122.445,37.745,173.94,,,rental,5000,open,,,2015-08-22,Diamond Heights,13,SF
"175 Red Rock Way APT 206K, San Francisco, CA 94131",0,1,474,zillow_sf,http://www.zillow.com/homedetails/175-Red-Rock-Way-APT-206K-San-Francisco-CA-94131/2101014304_zpid/,-122.442,37.7457,196.384,1972,0,rental,2650,open,,,2015-10-03,Diamond Heights,13,SF
"5106 Diamond Heights Blvd # B, San Francisco, CA 94131",3,2,1410,zillow_sf,http://www.zillow.com/homedetails/5106-Diamond-Heights-Blvd-B-San-Francisco-CA-94131/2131678729_zpid/,-122.442,37.7468,192.98,1965,0,rental,5940,open,,,2015-10-07,Diamond Heights,13,SF
"117 Topaz Way, San Francisco, CA 94131",3,2,2050,zillow_sf,http://www.zillow.com/homedetails/117-Topaz-Way-San-Francisco-CA-94131/15199979_zpid/,-122.436,37.7411,176.492,1978,0,rental,5990,open,,,2015-10-07,Diamond Heights,13,SF
900 Bush Street #410,0,1,0,climbsf_rented,http://www.climbsf.com/for-rent/900-bush-st-410/,-122.413,37.79,62.3965,,,rental,2100,closed,,2015-10-04,,Downtown,14,SF
181 O'Farrell Street #502,1,1,1499,climbsf_rented,http://www.climbsf.com/for-rent/181-ofarrell-st-502/,-122.408,37.7863,15.3914,,,rental,4000,closed,,2014-06-24,,Downtown,14,SF
1001 Pine Street #1204,1,1,616,climbsf_rented,http://www.climbsf.com/for-rent/1001-pine-st-1204/,-122.413,37.7903,67.5895,,,rental,0,closed,,2015-10-04,,Downtown,14,SF
1299 Bush Street #303,2,2,978,climbsf_rented,http://www.climbsf.com/for-rent/1299-bush-st-303/,-122.419,37.7889,49.8548,,,rental,4300,closed,,2014-11-04,,Downtown,14,SF
637 Powell Street #202,2,1,1590,climbsf_rented,http://www.climbsf.com/for-rent/637-powell-st-202/,-122.409,37.7906,50.9419,,,rental,4500,closed,,2014-12-12,,Downtown,14,SF
735 Geary Street #303,1,1,820,climbsf_rented,http://www.climbsf.com/for-rent/735-geary-st-303/,-122.415,37.7862,36.3448,,,rental,3000,closed,,2015-01-08,,Downtown,14,SF
"1177 California St, San Francisco, CA 94108",2,2,1640,zillow_sf,http://www.zillow.com/homedetails/1177-California-St-San-Francisco-CA-94108/2105667673_zpid/,-122.414,37.791,87.0144,,,rental,2400,open,,,2015-03-19,Downtown,14,SF
"725 Pine St APT 301, San Francisco, CA 94108",1,1,550,zillow_sf,http://www.zillow.com/homedetails/725-Pine-St-APT-301-San-Francisco-CA-94108/82785250_zpid/,-122.408,37.791,52.1983,,,rental,3090,closed,33,2015-10-06,2015-09-03,Downtown,14,SF
"Ofarrell St San Francisco, CA 94109",0,1,400,zillow_sf,http://www.zillow.com/homedetails/Ofarrell-St-San-Francisco-CA-94109/2106160953_zpid/,-122.419,37.7851,34.5974,,,rental,2375,open,,,2015-09-17,Downtown,14,SF
"1264 Pine St, San Francisco, CA 94109",3,1,2100,zillow_sf,http://www.zillow.com/homedetails/1264-Pine-St-San-Francisco-CA-94109/2104136187_zpid/,-122.417,37.7901,68.4919,,0,rental,6500,open,,,2015-09-14,Downtown,14,SF
"Cyril Magnin St San Francisco, CA 94102",2,2,0,zillow_sf,http://www.zillow.com/homedetails/Cyril-Magnin-St-San-Francisco-CA-94102/2101089190_zpid/,-122.409,37.7852,14.1129,,,rental,4300,closed,14,2015-10-04,2015-09-20,Downtown,14,SF
"900 Bush St APT 318, San Francisco, CA 94109",1,1,600,zillow_sf,http://www.zillow.com/homedetails/900-Bush-St-APT-318-San-Francisco-CA-94109/15069016_zpid/,-122.413,37.7899,62.2987,1982,0,rental,4200,open,,,2015-08-27,Downtown,14,SF
997 14th Street,1,1,600,climbsf_rented,http://www.climbsf.com/for-rent/997-14th-st/,-122.435,37.7672,72.7381,,,rental,2700,closed,,2013-09-16,,Duboce Triangle,15,SF
8 Buchanan Street #600,2,1,881,climbsf_rented,http://www.climbsf.com/for-rent/8-buchanan-st-600/,-122.427,37.7697,35.6563,,,rental,4000,closed,,2014-05-13,,Duboce Triangle,15,SF
8 Buchanan Street #214,0,1,453,climbsf_rented,http://www.climbsf.com/for-rent/1960-market-st-214/,-122.427,37.7697,35.6563,,,rental,2975,closed,,2015-06-15,,Duboce Triangle,15,SF
"923 14th St, San Francisco, CA 94114",3,1,1700,zillow_sf,http://www.zillow.com/homedetails/923-14th-St-San-Francisco-CA-94114/15142913_zpid/,-122.434,37.7672,55.4926,1900,1,rental,6000,closed,23,2015-10-07,2015-09-14,Duboce Triangle,15,SF
"8 Buchanan St UNIT 507, San Francisco, CA 94102",1,1,640,zillow_sf,http://www.zillow.com/homedetails/8-Buchanan-St-UNIT-507-San-Francisco-CA-94102/2101409840_zpid/,-122.427,37.7697,35.6563,,,rental,3895,open,,,2015-08-25,Duboce Triangle,15,SF
"2154 Market St APT C, San Francisco, CA 94114",1,1,455,zillow_sf,http://www.zillow.com/homedetails/2154-Market-St-APT-C-San-Francisco-CA-94114/2101338545_zpid/,-122.43,37.7669,33.3263,,,rental,2750,open,,,2015-09-04,Duboce Triangle,15,SF
"Market St San Francisco, CA 94114",2,2,1200,zillow_sf,http://www.zillow.com/homedetails/Market-St-San-Francisco-CA-94114/2101096892_zpid/,-122.426,37.7696,35.2097,,,rental,4995,open,,,2015-09-18,Duboce Triangle,15,SF
"8 Buchanan St UNIT 310, San Francisco, CA 94102",1,1,721,zillow_sf,http://www.zillow.com/homedetails/8-Buchanan-St-UNIT-310-San-Francisco-CA-94102/2100924623_zpid/,-122.427,37.7697,35.6563,2014,0,rental,3695,open,,,2015-10-09,Duboce Triangle,15,SF
4517 18th Street,3,3,1400,climbsf_rented,http://www.climbsf.com/for-rent/4517-18th-st/,-122.44,37.7604,45.9379,,,rental,5800,closed,,2013-06-04,,Eureka Valley / Dolores Heights,16,SF
225 Grandview Avenue,3,2,0,climbsf_rented,http://www.climbsf.com/for-rent/225-grand-view-ave/,-122.441,37.7547,119.374,,,rental,9500,closed,,2015-10-04,,Eureka Valley / Dolores Heights,16,SF
306 Eureka Street,1,1,756,climbsf_rented,http://www.climbsf.com/for-rent/306-eureka-st/,-122.438,37.7572,83.7298,,,rental,3250,closed,,2014-05-20,,Eureka Valley / Dolores Heights,16,SF
