address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"2924 Griffith St, San Francisco, CA 94124",3,1,966,zillow_sf,http://www.zillow.com/homedetails/2924-Griffith-St-San-Francisco-CA-94124/15154893_zpid/,-122.39,37.7167,33.4399,1914,0,1,,0.00104403,15278,rental,5025,closed,21,2015-10-28,2015-10-07,Bayview,4,SF
"2924 Griffith St, San Francisco, CA 94124",3,1,966,zillow_sf,http://www.zillow.com/homedetails/2924-Griffith-St-San-Francisco-CA-94124/15154893_zpid/,-122.39,37.7167,33.4399,1914,0,1,,0.00104403,82130,rental,3995,closed,123,2016-02-26,2015-10-26,Bayview,4,SF
"160 Orsi Cir, San Francisco, CA 94124",3,2,1626,zillow_sf,http://www.zillow.com/homedetails/160-Orsi-Cir-San-Francisco-CA-94124/15159149_zpid/,-122.398,37.7275,11.8514,1998,0,1,,,19033,rental,4000,open,,,2015-10-10,Bayview,4,SF
"160 Orsi Cir, San Francisco, CA 94124",3,2,1626,zillow_sf,http://www.zillow.com/homedetails/160-Orsi-Cir-San-Francisco-CA-94124/15159149_zpid/,-122.398,37.7275,11.8514,1998,0,1,,,21851,rental,3800,open,,,2015-10-16,Bayview,4,SF
"160 Orsi Cir, San Francisco, CA 94124",3,2,1626,zillow_sf,http://www.zillow.com/homedetails/160-Orsi-Cir-San-Francisco-CA-94124/15159149_zpid/,-122.398,37.7275,11.8514,1998,0,1,,,24444,rental,3750,open,,,2015-10-22,Bayview,4,SF
"55 1/2 Lucy St, San Francisco, CA 94124",2,1,1000,zillow_sf,http://www.zillow.com/homedetails/55-1-2-Lucy-St-San-Francisco-CA-94124/2100784055_zpid/,-122.393,37.73,24.4766,,0,1,,,24448,rental,2750,open,,,2015-10-22,Bayview,4,SF
"1027 Hollister Ave, San Francisco, CA 94124",4,2,1500,zillow_sf,http://www.zillow.com/homedetails/1027-Hollister-Ave-San-Francisco-CA-94124/15154698_zpid/,-122.391,37.7188,18.4661,1962,0,1,,0.00223607,49604,rental,4395,closed,13,2016-01-10,2015-12-28,Bayview,4,SF
"1027 Hollister Ave, San Francisco, CA 94124",4,2,1500,zillow_sf,http://www.zillow.com/homedetails/1027-Hollister-Ave-San-Francisco-CA-94124/15154698_zpid/,-122.391,37.7188,18.4661,1962,0,1,,0.00223607,61334,rental,4395,closed,,2016-01-12,,Bayview,4,SF
"1625 Palou Ave, San Francisco, CA 94124",5,5,2234,zillow_sf,http://www.zillow.com/homedetails/1625-Palou-Ave-San-Francisco-CA-94124/15156602_zpid/,-122.392,37.7342,25.0636,1925,0,1,,0.00781025,49734,rental,1475,open,,,2012-07-18,Bayview,4,SF
"66 Bayview St, San Francisco, CA 94124",3,1,1400,zillow_sf,http://www.zillow.com/homedetails/66-Bayview-St-San-Francisco-CA-94124/15157271_zpid/,-122.394,37.7329,43.5009,1924,0,1,,0.008,50131,rental,3075,closed,24,2016-01-10,2015-12-17,Bayview,4,SF
