address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"1838 E El Moro Ave, Mesa, AZ 85204",3,2,1092,zillow_ph,http://www.zillow.com/homedetails/1838-E-El-Moro-Ave-Mesa-AZ-85204/7627316_zpid/,-111.791,33.3989,376.062,rental,895,open,,,2015-09-26,West Central,107,PH
"1506 E El Moro Ave, Mesa, AZ 85204",3,1,1399,zillow_ph,http://www.zillow.com/homedetails/1506-E-El-Moro-Ave-Mesa-AZ-85204/7627083_zpid/,-111.799,33.3988,374.898,rental,1100,open,,,2015-09-28,West Central,107,PH
"611 E Gable Ave, Mesa, AZ 85204",3,1,1014,zillow_ph,http://www.zillow.com/homedetails/611-E-Gable-Ave-Mesa-AZ-85204/7629011_zpid/,-111.818,33.392,372.226,rental,1035,closed,2,2015-10-01,2015-09-29,West Central,107,PH
"1164 E Nielson Ave, Mesa, AZ 85204",3,2,1347,zillow_ph,http://www.zillow.com/homedetails/1164-E-Nielson-Ave-Mesa-AZ-85204/7624350_zpid/,-111.806,33.4109,377.029,rental,865,open,,,2015-10-02,West Central,107,PH
"8427 E Pueblo Ave, Mesa, AZ 85208",4,2,1598,zillow_ph,http://www.zillow.com/homedetails/8427-E-Pueblo-Ave-Mesa-AZ-85208/62731790_zpid/,-111.649,33.4003,444.571,rental,1200,closed,2,2015-09-30,2015-09-28,Southeast 0,119,PH
"10215 E Kiva Ave, Mesa, AZ 85209",4,2,1675,zillow_ph,http://www.zillow.com/homedetails/10215-E-Kiva-Ave-Mesa-AZ-85209/61908523_zpid/,-111.614,33.3774,455.77,rental,1150,closed,3,2015-10-01,2015-09-28,Southeast 0,119,PH
"3543 S Payton, Mesa, AZ 85212",3,2,1540,zillow_ph,http://www.zillow.com/homedetails/3543-S-Payton-Mesa-AZ-85212/52433129_zpid/,-111.585,33.3505,456.003,rental,1150,closed,3,2015-10-03,2015-09-30,Southeast 0,119,PH
"8917 E Oro Cir, Mesa, AZ 85212",3,2,1566,zillow_ph,http://www.zillow.com/homedetails/8917-E-Oro-Cir-Mesa-AZ-85212/60990488_zpid/,-111.642,33.3611,426.314,rental,1395,closed,4,2015-10-03,2015-09-29,Southeast 0,119,PH
"1350 S Greenfield Rd UNIT 2179, Mesa, AZ 85206",2,2,1088,zillow_ph,http://www.zillow.com/homedetails/1350-S-Greenfield-Rd-UNIT-2179-Mesa-AZ-85206/82826034_zpid/,-111.739,33.392,392.586,rental,999,closed,3,2015-10-03,2015-09-30,Southeast 0,119,PH
"780 Leisure World, Mesa, AZ 85206",2,2,1324,zillow_ph,http://www.zillow.com/homedetails/780-Leisure-World-Mesa-AZ-85206/7674664_zpid/,-111.685,33.4012,421.07,rental,2250,open,,,2015-09-30,Southeast 0,119,PH
