property_id,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
20728,"4052 W Chama Dr, Glendale, AZ 85310",3,2,1581,zillow_ph,http://www.zillow.com/homedetails/4052-W-Chama-Dr-Glendale-AZ-85310/7931718_zpid/,-112.147,33.711,427.191,2001,1,1,,,91312,rental,1225,closed,49,2014-07-20,2014-06-01,Deer Valley,307,PH
20728,"4052 W Chama Dr, Glendale, AZ 85310",3,2,1581,zillow_ph,http://www.zillow.com/homedetails/4052-W-Chama-Dr-Glendale-AZ-85310/7931718_zpid/,-112.147,33.711,427.191,2001,1,1,,,91313,rental,1250,closed,10,2015-07-04,2015-06-24,Deer Valley,307,PH
20728,"4052 W Chama Dr, Glendale, AZ 85310",3,2,1581,zillow_ph,http://www.zillow.com/homedetails/4052-W-Chama-Dr-Glendale-AZ-85310/7931718_zpid/,-112.147,33.711,427.191,2001,1,1,,,91314,rental,1295,closed,15,2016-02-15,2016-01-31,Deer Valley,307,PH
20728,"4052 W Chama Dr, Glendale, AZ 85310",3,2,1581,zillow_ph,http://www.zillow.com/homedetails/4052-W-Chama-Dr-Glendale-AZ-85310/7931718_zpid/,-112.147,33.711,427.191,2001,1,1,,,114839,rental,1295,closed,,2016-02-17,,Deer Valley,307,PH
20729,"4054 W La Junta Dr, Glendale, AZ 85310",4,3,2683,zillow_ph,http://www.zillow.com/homedetails/4054-W-La-Junta-Dr-Glendale-AZ-85310/7931429_zpid/,-112.147,33.7076,427.232,1991,0,1,,,91320,rental,1500,closed,27,2015-02-10,2015-01-14,Deer Valley,307,PH
20729,"4054 W La Junta Dr, Glendale, AZ 85310",4,3,2683,zillow_ph,http://www.zillow.com/homedetails/4054-W-La-Junta-Dr-Glendale-AZ-85310/7931429_zpid/,-112.147,33.7076,427.232,1991,0,1,,,91321,rental,1595,closed,8,2015-02-10,2015-02-02,Deer Valley,307,PH
20729,"4054 W La Junta Dr, Glendale, AZ 85310",4,3,2683,zillow_ph,http://www.zillow.com/homedetails/4054-W-La-Junta-Dr-Glendale-AZ-85310/7931429_zpid/,-112.147,33.7076,427.232,1991,0,1,,,98050,rental,1545,closed,29,2016-03-02,2016-02-02,Deer Valley,307,PH
20729,"4054 W La Junta Dr, Glendale, AZ 85310",4,3,2683,zillow_ph,http://www.zillow.com/homedetails/4054-W-La-Junta-Dr-Glendale-AZ-85310/7931429_zpid/,-112.147,33.7076,427.232,1991,0,1,,,101833,rental,1545,closed,1,2016-02-08,2016-02-07,Deer Valley,307,PH
20730,"410 E Topeka Dr, Phoenix, AZ 85024",3,2,1585,zillow_ph,http://www.zillow.com/homedetails/410-E-Topeka-Dr-Phoenix-AZ-85024/7972433_zpid/,-112.069,33.66,431.197,1984,0,1,,,91330,rental,1400,closed,20,2016-02-08,2016-01-19,Deer Valley,307,PH
20733,"4101 W Saguaro Park Ln, Glendale, AZ 85310",3,3,2215,zillow_ph,http://www.zillow.com/homedetails/4101-W-Saguaro-Park-Ln-Glendale-AZ-85310/7930175_zpid/,-112.149,33.7082,426.012,1988,0,1,,,91344,rental,1500,closed,16,2014-12-19,2014-12-03,Deer Valley,307,PH
20733,"4101 W Saguaro Park Ln, Glendale, AZ 85310",3,3,2215,zillow_ph,http://www.zillow.com/homedetails/4101-W-Saguaro-Park-Ln-Glendale-AZ-85310/7930175_zpid/,-112.149,33.7082,426.012,1988,0,1,,,91345,rental,1500,closed,35,2016-02-24,2016-01-20,Deer Valley,307,PH
20735,"4137 W Hackamore Dr, Phoenix, AZ 85083",4,3,2708,zillow_ph,http://www.zillow.com/homedetails/4137-W-Hackamore-Dr-Phoenix-AZ-85083/50184474_zpid/,-112.15,33.7142,427.502,2000,0,1,,,91355,rental,2200,closed,5,2013-07-14,2013-07-09,Deer Valley,307,PH
20736,"417 E Morrow Dr, Phoenix, AZ 85024",3,2,1249,zillow_ph,http://www.zillow.com/homedetails/417-E-Morrow-Dr-Phoenix-AZ-85024/7968344_zpid/,-112.069,33.6572,427.812,1981,0,1,,,91362,rental,1195,closed,4,2012-10-09,2012-10-05,Deer Valley,307,PH
20736,"417 E Morrow Dr, Phoenix, AZ 85024",3,2,1249,zillow_ph,http://www.zillow.com/homedetails/417-E-Morrow-Dr-Phoenix-AZ-85024/7968344_zpid/,-112.069,33.6572,427.812,1981,0,1,,,91363,rental,1195,closed,26,2013-12-01,2013-11-05,Deer Valley,307,PH
20736,"417 E Morrow Dr, Phoenix, AZ 85024",3,2,1249,zillow_ph,http://www.zillow.com/homedetails/417-E-Morrow-Dr-Phoenix-AZ-85024/7968344_zpid/,-112.069,33.6572,427.812,1981,0,1,,,91364,rental,1325,closed,47,2016-02-08,2015-12-23,Deer Valley,307,PH
20736,"417 E Morrow Dr, Phoenix, AZ 85024",3,2,1249,zillow_ph,http://www.zillow.com/homedetails/417-E-Morrow-Dr-Phoenix-AZ-85024/7968344_zpid/,-112.069,33.6572,427.812,1981,0,1,,,106258,rental,1325,closed,,2016-02-10,,Deer Valley,307,PH
20743,"4244 W Anderson Dr, Glendale, AZ 85308",4,2,1796,zillow_ph,http://www.zillow.com/homedetails/4244-W-Anderson-Dr-Glendale-AZ-85308/7946972_zpid/,-112.151,33.6426,395.002,1980,1,1,,,91403,rental,1600,closed,34,2016-03-01,2016-01-27,Deer Valley,307,PH
20744,"4330 W Camino Vivaz, Glendale, AZ 85310",4,2,1827,zillow_ph,http://www.zillow.com/homedetails/4330-W-Camino-Vivaz-Glendale-AZ-85310/7931057_zpid/,-112.154,33.7001,421.521,1994,0,1,,,91408,rental,1400,closed,18,2016-02-08,2016-01-21,Deer Valley,307,PH
20751,"4548 W Villa Theresa Dr, Glendale, AZ 85308",3,2,2620,zillow_ph,http://www.zillow.com/homedetails/4548-W-Villa-Theresa-Dr-Glendale-AZ-85308/7949089_zpid/,-112.158,33.654,397.719,1979,0,1,,,91446,rental,1950,closed,0,2012-08-11,2012-08-11,Deer Valley,307,PH
20751,"4548 W Villa Theresa Dr, Glendale, AZ 85308",3,2,2620,zillow_ph,http://www.zillow.com/homedetails/4548-W-Villa-Theresa-Dr-Glendale-AZ-85308/7949089_zpid/,-112.158,33.654,397.719,1979,0,1,,,91450,rental,1495,closed,10,2012-12-14,2012-12-04,Deer Valley,307,PH
20751,"4548 W Villa Theresa Dr, Glendale, AZ 85308",3,2,2620,zillow_ph,http://www.zillow.com/homedetails/4548-W-Villa-Theresa-Dr-Glendale-AZ-85308/7949089_zpid/,-112.158,33.654,397.719,1979,0,1,,,91451,rental,1450,closed,45,2013-12-27,2013-11-12,Deer Valley,307,PH
20751,"4548 W Villa Theresa Dr, Glendale, AZ 85308",3,2,2620,zillow_ph,http://www.zillow.com/homedetails/4548-W-Villa-Theresa-Dr-Glendale-AZ-85308/7949089_zpid/,-112.158,33.654,397.719,1979,0,1,,,91452,rental,1550,closed,31,2015-03-29,2015-02-26,Deer Valley,307,PH
