id,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
81,755 Tennessee Street #2,2,2,1366,climbsf_rented,http://www.climbsf.com/for-rent/755-tennessee-st-2/,-122.389,37.7623,10.2006,,,1,,0.0285217,81,rental,4450,closed,,2013-07-30,,Central Waterfront/Dogpatch,89,SF
82,338 Spear Street #39A,2,2,1300,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-39a/,-122.391,37.7894,0.0,,,39,,0.0350366,82,rental,6700,closed,,2013-08-01,,South Beach,74,SF
,333 Main Street #9D,4,2,0,climbsf_rented,http://www.climbsf.com/for-rent/333-main-st-9d/,-122.391,37.789,1.80794,,,9,,0.0350571,83,rental,5500,closed,,2013-08-01,,South Beach,74,SF
84,3156 Turk Street #A,4,2,2100,climbsf_rented,http://www.climbsf.com/for-rent/3156-turk-st-a/,-122.458,37.7776,69.3169,,,1,,0.0034,84,rental,5000,closed,,2013-08-09,,Lone Mountain,41,SF
85,451 Kansas Street #489,0,1,453,climbsf_rented,http://www.climbsf.com/for-rent/451-kansas-st-489/,-122.403,37.7639,21.4412,,,4,,0.0219463,85,rental,2600,closed,,2013-08-09,,Potrero Hill,67,SF
86,868 Minnesota Street #313,1,1,835,climbsf_rented,http://www.climbsf.com/for-rent/868-minnesota-st-313/,-122.391,37.7597,16.3891,,,3,,0.025296,86,rental,3400,closed,,2013-08-16,,Central Waterfront/Dogpatch,89,SF
87,2030 Third Street #6,1,2,882,climbsf_rented,http://www.climbsf.com/for-rent/2030-3rd-st-6/,-122.389,37.7637,6.3825,,,1,,0.0294871,87,rental,3500,closed,,2013-08-16,,Central Waterfront/Dogpatch,89,SF
,333 Main Street #7B,2,2,1113,climbsf_rented,http://www.climbsf.com/for-rent/333-main-st-7b/,-122.391,37.789,1.80794,,,7,,0.0189694,88,rental,4475,closed,-813,2013-08-23,2015-11-14,South Beach,74,SF
89,229 Brannan Street #12J,2,2,1425,climbsf_rented,http://www.climbsf.com/for-rent/229-brannan-st-12j/,-122.39,37.7826,6.83539,,,12,,0.036967,89,rental,5950,closed,,2013-08-29,,South Beach,74,SF
90,555 Bartlett Street #413,2,2,1135,climbsf_rented,http://www.climbsf.com/for-rent/555-bartlett-st-413/,-122.419,37.7484,29.7804,,,4,,0.00453431,90,rental,4050,closed,,2013-09-10,,Inner Mission,33,SF
